file	offset	len	text
MENUEN	002BF4	9	トラコラ
MENUEN	002BFD	191	渓谷地帯で戦った。メラコラとの違いは、頭の飾りと特殊攻撃だ。たくさんの針を集中して撃ってくるので危険だが、前に回り込んで、針を出す□を攻撃すれば、大きなダメージを与えることができる。
MENUEN	002D3C	9	シャプリ
MENUEN	002D45	180	渓谷地帯で戦った。2匹が一緒に行動していることが多い。後ろに回り込めば安全だが動きがすばやいのでかなり難しい。逆に回り込まれて大アゴに襲われないように気をつける必要がある。
MENUEN	002E78	13	シャプリの巣
MENUEN	002E85	159	渓谷地帯で戦った。発掘所のどこかにいると噂されていた奴だ。確実に弱点を狙っていかないと、長期戦になるだろう。シャプリの幼体が際限なく出てくるのも厄介だ。
MENUEN	0030F3	211	ガリル砂漠で戦った。常に群れで行動している。こういう奴らは群れ全体が1匹の生物だと考えた方がいい。1体倒したところでその攻撃力はほとんど弱まらない。群れを率いている個体を倒すのが、一番確実な方法だろう。
MENUEN	003244	17	トゥプ(上位体)
MENUEN	003255	148	トゥプの群れを率いているリーダー。どうやら、この種の攻性生物は、リーダーだけが意志を持っているようだ。それを利用すれば群れは簡単に追い払える。
MENUEN	003368	11	アシュティ
MENUEN	003373	128	ガリル砂漠で戦った。こいつのように角のないアシュティは、攻撃をされない方向に回り込み、すきを見て攻めていれば簡単に倒せる。
MENUEN	00346C	21	アシュティ(上位体)
MENUEN	003481	182	アシュティのリーダー。角の有無で見分けがつく。こいつの吐くしびれ液をくらうと、動きがとれなくなってしまう。群れの中にこいつがいたら真っ先に倒しておかないと痛い目にあうだろう。
MENUEN	003537	9	しびれ液
MENUEN	0035B0	9	セチュラ
MENUEN	0035B9	176	ガリル砂漠で戦った。岩のふりをしていて、敵が近寄った時に襲ってくる。背中が弱点。ダメージを受けると、その方向に向き直って攻撃してくることがあるので、気をつけた方がいい。
MENUEN	0036DC	9	プーキオ
MENUEN	0036E5	161	ガリル砂漠で戦った。トゥプを招き寄せる性質があるらしい。また、攻撃を受けると即座にその方向に反撃してくる。ただし、後ろに反撃することだけはできないようだ。
MENUEN	003800	9	ワムシシ
MENUEN	003809	167	ガリル砂漠で戦った。小型の攻性生物で、狩りの獲物としては手ごろだ。装甲が厚いわりにすばやくダメージを与えにくいが、攻撃は単調なので、とくに手ごわい相手ではない。
MENUEN	00393D	164	ウルで戦った。めったに出会うことのない珍しい敵だ。おまけに、一度攻撃すると、すぐに逃げてしまう。こういう相手は、出会いがしらにバーサーク技で攻撃するに限る。
MENUEN	003BA0	9	ハイシュ
MENUEN	003BA9	203	ガリル砂漠の地下の空洞で戦った。光の粉をまき散らしながら飛ぶ姿は美しいが、それに見とれていては、命がいくつあっても足りない。その光が、さらに恐ろしい巨大攻性生物・ハイガを呼び寄せているのだから。
MENUEN	003CE4	15	ハイガ(幼生)
MENUEN	003CF3	180	姿も大きさも全然違うが、ハイシュとハイガは、同じ種のオスとメスにあたる。この時のハイガはほとんど攻撃力を持たないが、オスであるハイシュを食うことで、機動形態へと姿を変える。
MENUEN	003E37	120	この形態のハイガは動きがとても速かったが、そのせいか後方が死角になっていた。攻撃力は、それほど高くなかったようだ。
MENUEN	004040	19	ハイガ(完全形態)
MENUEN	004053	125	攻撃力や防御力、さらにすばやさも上がった最後の形態。こいつを倒すと同時にも変形能力を手に入れた。単なる偶然だろうか？
MENUEN	004150	13	トゥプナック
MENUEN	00415D	174	ウルで戦った。砂漠に住んでいるトゥプが水辺の環境に合わせて変化したものだ。攻撃方法や生態は、ほとんど同じといっていいだろう。ただし、トゥプよりは多少打たれ強いようだ。
MENUEN	004288	23	トゥプナック(上位体)
MENUEN	00429F	111	ウルで戦った。砂漠に住んでいるトゥプが水辺の環境に合わせて変化したものだ。リーダーの役目もほぼ一緒らしい。
MENUEN	00438C	11	ミシュティ
MENUEN	004397	178	ウルで戦った。砂漠に住むアシュティが、水辺の環境に合わせて変化したものだ。攻撃方法や生態は、ほとんど同じといっていいだろう。ただし、アシュティよりは多少打たれ強いようだ。
MENUEN	0044C0	21	ミシュティ(上位体)
MENUEN	0044D5	164	ウルで戦った。砂漠に住むアシュティが、水辺の環境に合わせて変化したものだ。攻撃方法や生態は、ほとんど同じといっていいだろう。リーダーの役目もほぼ一緒らしい。
MENUEN	004579	9	しびれ液
MENUEN	0045FD	167	ウルの地下遣跡で戦った。攻性生物タルメランの卵。ふ化すると厄介なので、その前に倒しておきたい。銃弾のエネルギーを吸収してしまうので、攻撃する時には注意が必要だ。
MENUEN	00471D	165	ウルの地下遣跡で戦った。攻性生物デルメランの卵。ふ化すると厄介なので、その前に倒しておきたい。光のエネルギーを吸収してしまうので、攻撃する時には注意が必要だ。
MENUEN	004834	11	タルメラン
MENUEN	00483F	142	ウルの地下遣跡で戦った。ふ化したタルメランは、短時間でタルバーニへと羽化する。同時に攻撃力も上がってしまうので、その前に倒しておきたい。
MENUEN	0048CD	11	かじりつき
MENUEN	004948	11	デルメラン
MENUEN	004953	172	ウルの地下遣跡で戦った。ふ化したデルメランは、短時間でデルバーニへと羽化する。また、仲間の成長を早める能力もあるので、群れで現れた時には、先に倒しておいた方がいい。
MENUEN	0049FF	11	かじりつき
MENUEN	004A7C	11	タルバーニ
MENUEN	004A87	142	ウルの地下遣跡で戦った。ふ化したタルメランは、短時間でタルバーニへと羽化する。同時に攻撃力も上がってしまうので、その前に倒しておきたい。
MENUEN	004B15	11	かじりつき
MENUEN	004B90	11	デルバーニ
MENUEN	004B9B	172	ウルの地下遣跡で戦った。ふ化したデルメランは、短時間でデルバーニへと羽化する。また、仲間の成長を早める能力もあるので、群れで現れた時には、先に倒しておいた方がいい。
MENUEN	004C47	11	かじりつき
MENUEN	004CC4	9	ナウパダ
MENUEN	004CCD	123	ウルの地下遣跡で戦った。周囲にいる仲間が傷つくとダメージを回復させる。たまに粘着液を吐き出して自ら攻撃することもある。
MENUEN	004DC0	17	カンヘルドラゴン
MENUEN	004DD1	113	ウルで戦った。ドラゴンに似た姿なのでこう呼ばれているが、力は遠く及ばない。最近は数もかなり減っているようだ。
MENUEN	004ECC	11	タム・プロ
MENUEN	004ED7	138	ウルの地下遣跡で戦った。攻撃された時だけ反撃する珍しい攻性生物。銃で撃つと上を向く。この状態なら、反撃されてもこちらには当たらない。
MENUEN	004FD8	17	タム・リッサ＆巣
MENUEN	004FE9	159	どうやら、こいつがタム・プロを産んでいたようだ。武器が届かない頭上から攻撃してくるので面食らったが、攻め方がわかってしまえば、どうということはなかった。
MENUEN	005258	15	タム・バクプロ
MENUEN	005267	136	ウルの地下遣跡で戦った。攻撃された時だけ反撃する珍しい攻性生物。こいつは他のタム・プロと違い、爆発する卵のようなものを持っている。
MENUEN	00536C	11	ヴェロクス
MENUEN	005377	169	禁止区域近辺で出会う。編隊を組んで飛ぶ姿は、帝国軍の戦闘機のようだ。後方への攻撃ができないかわりに、レーザーを回避する能力がある。それさえ何とかすれば楽に倒せる。
MENUEN	005420	9	レーザー
MENUEN	005429	17	レーザーストーム
MENUEN	0054AC	21	ヴェロクス(中軸体)
MENUEN	0054C1	113	禁止区域近辺で戦った。編隊を組んで飛ぶ姿は、帝国軍の戦闘機のようだ。角の長いやつが、指揮をとっているらしい。
MENUEN	005532	9	レーザー
MENUEN	00553B	17	レーザーストーム
MENUEN	0055BC	11	ヴェロキタ
MENUEN	0055C7	126	禁止区域近辺で戦った。水に潜っている間は攻撃を受けつけない。短い光の矢を放つ攻撃が危険だが、よく見ればその前兆がわかる。
MENUEN	00564C	11	レイガスト
MENUEN	0056C8	21	ヴェロキタ(中軸体)
MENUEN	0056DD	159	禁止区域近辺で戦った。水に潜っている間は攻撃を受けつけない。ヴェロクスと同じように、他と姿が違うやつが群れに混じっている。これも、指揮をとる個体だろう。
MENUEN	005783	11	レイガスト
MENUEN	005807	149	ゲオルギウスで出会う竜巻のまわりに浮いている岩の近くにいる。こいつの攻撃は、岩の向こうからでも当たるので常に視界に入れながら戦わないと不利だ。
MENUEN	00589C	17	ロックヴァイパー
MENUEN	005DE7	188	メル=カヴァで戦った。これまでに出会った、どの攻性生物よりもすばやい。後方が弱点だが、なかなか狙い撃つことができない。相手の動きを追うよりも、敵が前に来る一瞬を狙う方がいいだろう。
MENUEN	005EA3	9	レーザー
MENUEN	005F1C	13	量産ドラゴン
MENUEN	005F29	159	ゾアの森で戦った。これは帝国アカデミーでの呼び名だ。昔、ドラゴンが帝都に現れた時、大量に目撃されたらしい。こいつも、旧世紀生まれの血統書つきなのだろう。
MENUEN	006053	173	必ず、ウンブラとともに行動している。それぞれ、左右と前後に対する攻撃を無効化する力があるうえ、こちらに反応して動くのが厄介だ。効率よく倒すには少し頭を使う必要がある。
MENUEN	006188	9	ウンブラ
MENUEN	006191	171	必ず、フォスとともに行動している。それぞれ、左右と前後に対する攻撃を無効化する力があるうえ、こちらに反応して動くのが厄介だ。効率よく倒すには少し頭を使う必要がある。
MENUEN	0062C4	15	光子砲バリスタ
MENUEN	0062D3	190	メル=カヴァの船底に格納されている砲台。3方向へ攻撃をしてくるうえ、強力なバリアで守られているので、こちらの攻撃が届かない。バリアを何とかしない限り、正面から戦うのは、かなり危険だ。
MENUEN	006408	9	アルスロ
MENUEN	006411	136	メル=カヴァの内部通路を守っている。正面に強力な光の矢を撃ってくるが、通路いっぱいに広がっているので、左右によけることができない。
MENUEN	006943	174	『塔』の中で戦った。侵入者を阻むしかけが作動すると襲ってくる、下級ガーディアン。強力な攻撃を一度だけ行って、すぐに逃げ出してしまう。体力が残り少ない時には危険な敵だ。
MENUEN	006A6C	23	ハヌマン＆強襲艦ハオト
MENUEN	006A83	122	ゾアの森で戦った。塔から攻めてきた群れの中にいた攻性生物。上に乗っているやつは、森林で戦うために生み出されたらしい。
MENUEN	006B84	23	ハヌマン＆強襲艦クオパ
MENUEN	006B9B	128	ゾアの森で戦った。塔から攻めてきた群れの中にいた攻性生物。下にぶら下がっているやつは、森林で戦うために生み出されたらしい。
MENUEN	006CA0	9	マサーン
MENUEN	006CA9	136	塔から生まれ出た純血種がゾアの森に根づいたもの。森の上空に出ている部分を攻撃しても、力の源である根が活動している限り効きめがない。
MENUEN	006D31	9	つむじ風
MENUEN	006F1F	159	『塔』の中で戦った。侵入者を阻むしかけが作動すると襲ってくる、下級ガーディアン。正面に放つ光の矢をさけるために移動すると、それに反応して直接攻撃を行う。
MENUEN	006FBE	15	シャドウフレア
MENUEN	00718F	124	『塔』の下部格納層を守っていたガーディアン。塔のあちこちに配置された下級ガーディアンの上位種として生み出されたらしい。
MENUEN	007210	17	ステータスクリア
MENUEN	00729C	21	アンチベースウィング
MENUEN	0072B1	127	セストレンで戦った。なぜ、と同じ姿なんだ？ 旧世紀の意志を守る敵の、真の姿がこれだというのか？だとすれば、儀のは…？
MENUEN	007330	9	レーザー
MENUEN	0073AC	25	アンチバリアントウィング
MENUEN	0073C5	127	セストレンで戦った。なぜ、と同じ姿なんだ？ 旧世紀の意志を守る敵の、真の姿がこれだというのか？だとすれば、儀のは…？
MENUEN	007444	9	レーザー
MENUEN	0074C0	25	アンチストライプウィング
MENUEN	0074D9	127	セストレンで戦った。なぜ、と同じ姿なんだ？ 旧世紀の意志を守る敵の、真の姿がこれだというのか？だとすれば、儀のは…？
MENUEN	007558	9	レーザー
MENUEN	0075D4	25	アンチパンツァーウィング
MENUEN	0075ED	127	セストレンで戦った。なぜ、と同じ姿なんだ？ 旧世紀の意志を守る敵の、真の姿がこれだというのか？だとすれば、儀のは…？
MENUEN	00766C	9	レーザー
MENUEN	007675	13	ザムクレート
MENUEN	007844	11	セストレン
MENUEN	00784F	135	最後に戦った相手だ。そのおぞましい姿の中には確かに、ドラゴンの収まる座がある。儀のがいるべき本当の場所は、あそこなのだろうか。
MENUEN	007A90	23	セストレン・エクスシス
MENUEN	007AA7	135	最後に戦った相手だ。そのおぞましい姿の中には確かに、ドラゴンの収まる座がある。儀のがいるべき本当の場所は、あそこなのだろうか。
MENUEN	007BCB	197	帝国軍の中でも、特殊な任務につく部隊が使用する船だ。3方向に攻撃できる6連装誘導爆雷を積んでいる。爆雷点火から発射までには時間がかかるので、その間に爆雷を撃ち落とせば痛い目にあわずにすむ。
MENUEN	007E58	15	戦闘機ジンコウ
MENUEN	007E67	195	帝国軍の空中騎兵連隊が使っている戦闘機。運動性と引きかえに装甲が薄くなっていて、攻撃を受ければ、あっという間に墜落してしまう。しかし、腕のいい操縦士が扱えば、光の矢をかわすこともできる。
MENUEN	007F2A	17	ツァスタバターン
MENUEN	007FB8	17	火炎噴射艇アナラ
MENUEN	007FC9	144	旧式艦を改良したもの。エンジンの出力が弱く、火炎噴射砲しか積むことができなかったらしいが、装甲には、最近発掘された素材を使っているようだ。
MENUEN	0080D4	17	駆逐艦ヴァジュラ
MENUEN	0080E5	222	クレイメン艦隊で使われている、対攻性生物用の戦闘艦。軽量で小回りがきくだけでなく、兵装も大型の攻性生物を意識したものになっている。神経弾には毒矢のような効果があり、重散弾砲はどんな攻性生物の殻も破る破壊力を持つ。
MENUEN	00824C	23	ツァスタバ専用機ソーマ
MENUEN	008263	135	クレイメンの部下のツァスタバが乗っていた戦闘機。機体の運動性を最大限に発揮して襲ってきたが、本気で儀らを殺す気はなかったらしい。
MENUEN	0082EA	17	ツァスタバダイブ
MENUEN	00836C	25	空中戦艦ヴァルナ・輸送型
MENUEN	008385	115	帝国軍の主力空中戦艦。今までに100隻以上も建造されているらしい。これは輸送型で、武装の一部を取り外してある。
MENUEN	008478	19	夜間哨戒艇ドルヴァ
MENUEN	00848B	130	帝国の基地のあちこちで見かける機体。武装がないぶん動きが早く攻撃が当たりにくいうえ、こちらを発見すると援軍を呼ぶ厄介な敵だ。
MENUEN	008580	15	重迎撃機ゲラキ
MENUEN	00858F	158	帝国の基地を守っている機体。爆雷を積んでいるが、前方にしか撃つことができないらしい。ただし見かけのわりにすばやく、油断していると後ろをとられてしまう。
MENUEN	0086AC	15	移動砲台ハンサ
MENUEN	0086BB	132	帝国の基地の防衛線近くで戦った。大きな砲身が狙いをつけてくるが、砲台の旋回が遅いので、こちらが動き続けていれば、まず大丈夫だ。
MENUEN	008A54	23	特0号噴進弾ヴァラーハ
MENUEN	008A6B	163	帝国軍が、ゾアの街を焼きつくそうとして使った兵器。自ら飛行する巨大な砲弾のようなものだ。着弾する前に破壊していなければ、儀らも爆発に巻き込まれていただろう。
MENUEN	008E34	15	戦闘機ジンコウ
MENUEN	008E43	195	帝国軍の空中騎兵連隊が使っている戦闘機。運動性と引きかえに装甲が薄くなっていて、攻撃を受ければ、あっという間に墜落してしまう。しかし、腕のいい操縦士が扱えば、光の矢をかわすこともできる。
MENUEN	008F06	17	ツァスタバターン
MENUEN	008FA3	197	帝国軍の中でも、特殊な任務につく部隊が使用する船だ。3方向に攻撃できる6連装誘導爆雷を積んでいる。爆雷点火から発射までには時間がかかるので、その間に爆雷を撃ち落とせば痛い目にあわずにすむ。
MENUEN	0090E8	17	旗艦グリグオリグ
MENUEN	0090F9	207	帝国軍空中艦隊の旗艦。皇帝の乗艦でもあるが、むしろ王宮そのものが空に浮いていると言った方がいいかもしれない。最大の武器は、皇帝砲と名づけられた雷撃兵器。ゾアの街は、これ一発で吹き飛ばされてしまった。
MENUEN	009248	13	戦闘機カルラ
MENUEN	009255	149	対攻性生物戦用にガス弾を装備した戦闘機。後ろをとらなければろくに攻撃が当たらないうえ、ガスをくらうと、こちらの行動がほとんど封じされてしまう。
MENUEN	009368	17	火炎噴射艇アナラ
MENUEN	009379	144	旧式艦を改良したもの。エンジンの出力が弱く、火炎噴射砲しか積むことができなかったらしいが、装甲には、最近発掘された素材を使っているようだ。
MENUEN	009804	15	ベースウィング
MENUEN	009813	82	発掘所の地下の遣跡で、初めて出会った時の姿。すべては、あの時から始まったんだ。
MENUEN	0098D8	25	バリアントウィング標準型
MENUEN	0098F1	96	ガリル砂漠で、ハイガを倒した時に変化した姿。この時から、身体を自由に変形できるようになった。
MENUEN	0099C4	25	バリアントウィング防御型
MENUEN	0099DD	96	ガリル砂漠で、ハイガを倒した時に変化した姿。この時から、身体を自由に変形できるようになった。
MENUEN	009AB0	25	バリアントウィング攻撃型
MENUEN	009AC9	96	ガリル砂漠で、ハイガを倒した時に変化した姿。この時から、身体を自由に変形できるようになった。
MENUEN	009B9C	25	バリアントウィング機動型
MENUEN	009BB5	96	ガリル砂漠で、ハイガを倒した時に変化した姿。この時から、身体を自由に変形できるようになった。
MENUEN	009C88	25	バリアントウィング心技型
MENUEN	009CA1	96	ガリル砂漠で、ハイガを倒した時に変化した姿。この時から、身体を自由に変形できるようになった。
MENUEN	009D74	25	ストライプウィング標準型
MENUEN	009D8D	86	ゲオルギウスで目覚めた巨大なドラゴンを倒した時に変化した姿。翼のしま模様が美しい。
MENUEN	009E54	25	ストライプウィング防御型
MENUEN	009E6D	86	ゲオルギウスで目覚めた巨大なドラゴンを倒した時に変化した姿。翼のしま模様が美しい。
MENUEN	009F34	25	ストライプウィング攻撃型
MENUEN	009F4D	86	ゲオルギウスで目覚めた巨大なドラゴンを倒した時に変化した姿。翼のしま模様が美しい。
MENUEN	00A014	25	ストライプウィング機動型
MENUEN	00A02D	86	ゲオルギウスで目覚めた巨大なドラゴンを倒した時に変化した姿。翼のしま模様が美しい。
MENUEN	00A0F4	25	ストライプウィング心技型
MENUEN	00A10D	86	ゲオルギウスで目覚めた巨大なドラゴンを倒した時に変化した姿。翼のしま模様が美しい。
MENUEN	00A1D4	25	パンツァーウィング標準型
MENUEN	00A1ED	78	タム・バシレウスを倒した時に変化した姿。甲殻におおわれた部分が増えている。
MENUEN	00A2AC	25	パンツァーウィング防御型
MENUEN	00A2C5	78	タム・バシレウスを倒した時に変化した姿。甲殻におおわれた部分が増えている。
MENUEN	00A384	25	パンツァーウィング攻撃型
MENUEN	00A39D	78	タム・バシレウスを倒した時に変化した姿。甲殻におおわれた部分が増えている。
MENUEN	00A45C	25	パンツァーウィング機動型
MENUEN	00A475	78	タム・バシレウスを倒した時に変化した姿。甲殻におおわれた部分が増えている。
MENUEN	00A534	25	パンツァーウィング心技型
MENUEN	00A54D	78	タム・バシレウスを倒した時に変化した姿。甲殻におおわれた部分が増えている。
MENUEN	00A60C	19	アイウィング標準型
MENUEN	00A61F	84	アトルムドラゴンを倒した時に変化した姿。翼の内側に、目のような模様ができている。
MENUEN	00A6E4	19	アイウィング防御型
MENUEN	00A6F7	84	アトルムドラゴンを倒した時に変化した姿。翼の内側に、目のような模様ができている。
MENUEN	00A7BC	19	アイウィング攻撃型
MENUEN	00A7CF	84	アトルムドラゴンを倒した時に変化した姿。翼の内側に、目のような模様ができている。
MENUEN	00A894	19	アイウィング機動型
MENUEN	00A8A7	84	アトルムドラゴンを倒した時に変化した姿。翼の内側に、目のような模様ができている。
MENUEN	00A96C	19	アイウィング心技型
MENUEN	00A97F	84	アトルムドラゴンを倒した時に変化した姿。翼の内側に、目のような模様ができている。
MENUEN	00AA44	21	アームウィング標準型
MENUEN	00AA59	112	攻性生物に寄生されたグリグオリグを倒した時に変化した姿。少しずつ、人の姿に近づいてきているような気がする。
MENUEN	00AB3C	21	アームウィング防御型
MENUEN	00AB51	112	攻性生物に寄生されたグリグオリグを倒した時に変化した姿。少しずつ、人の姿に近づいてきているような気がする。
MENUEN	00AC34	21	アームウィング攻撃型
MENUEN	00AC49	112	攻性生物に寄生されたグリグオリグを倒した時に変化した姿。少しずつ、人の姿に近づいてきているような気がする。
MENUEN	00AD2C	21	アームウィング機動型
MENUEN	00AD41	112	攻性生物に寄生されたグリグオリグを倒した時に変化した姿。少しずつ、人の姿に近づいてきているような気がする。
MENUEN	00AE24	21	アームウィング心技型
MENUEN	00AE39	112	攻性生物に寄生されたグリグオリグを倒した時に変化した姿。少しずつ、人の姿に近づいてきているような気がする。
MENUEN	00AF1C	15	ライトウィング
MENUEN	00AF2B	150	Dーユニットと呼ばれる記録版のようなものを全て集めた時に変化した異様な姿。なんだか、儀のが手の届かないところに行ってしまったような感じだ…。
MENUEN	00B034	19	ソロウィング標準型
MENUEN	00B047	101	昔、帝都に現れたというドラゴンも、これと同じ姿をしていたらしい。これがの本当の姿なのだろうか。
MENUEN	00B11C	19	ソロウィング防御型
MENUEN	00B12F	105	ゲオルギウスで戦ったというドラゴンも、これと似た姿をしていたらしい。これがの本当の姿なのだろうか。
MENUEN	00B208	19	ソロウィング攻撃型
MENUEN	00B21B	105	ゲオルギウスで戦ったというドラゴンも、これと似た姿をしていたらしい。これがの本当の姿なのだろうか。
MENUEN	00B2F4	19	ソロウィング機動型
MENUEN	00B307	105	ゲオルギウスで戦ったというドラゴンも、これと似た姿をしていたらしい。これがの本当の姿なのだろうか。
MENUEN	00B3E0	19	ソロウィング心技型
MENUEN	00B3F3	101	昔、帝都に現れたというドラゴンも、これと同じ姿をしていたらしい。これがの本当の姿なのだろうか。
MENUEN	00B4C8	11	フローター
MENUEN	00B4D3	88	ウルの地下遣跡で使った旧世紀の乗り物。出力は小さいが、光の矢を撃ち出すことができる。
RESULT	001418	25	遭遇した敵のデータを記録
RESULT	001431	11	記録しない
TWN_CAMP	003FB2	31	3せめーウヌむ
TWN_CARA	00ECEC	29	すいません、仕事があるので…
TWN_CARA	00ED16	33	…お話なら、母に聞いてください…
TWN_CARA	00ED44	11	ちょいと！
TWN_CARA	00ED4F	29	うちの娘に何するつもりだい！
TWN_CARA	00ED6C	31	(何か手仕事をしているようだ)
TWN_CARA	00ED98	15	ごめんなさい…
TWN_CARA	00EDA7	35	よその人とお話したこと、なくって…
TWN_CARA	00EDD7	29	すいません、仕事があるので…
TWN_CARA	00EE01	39	私、生まれた村から出たことがなくって…
TWN_CARA	00EE28	37	旅に出てから、ずっと心細かったんです
TWN_CARA	00EE5A	33	…お話なら、母に聞いてください…
TWN_CARA	00EE88	31	アンユウのおじさんに聞きました
TWN_CARA	00EEA7	35	狩りに出るのって、命がけなんですね
TWN_CARA	00EED7	15	ごめんなさい…
TWN_CARA	00EEE6	35	よその人とお話したこと、なくって…
TWN_CARA	00EF16	29	すいません、仕事があるので…
TWN_CARA	00EF40	35	外の世界も、もう恐くなくなりました
TWN_CARA	00EF63	31	あなたも旅してる世界ですから…
TWN_CARA	00EF8F	39	私、生まれた村から出たことがなくって…
TWN_CARA	00EFB6	37	旅に出てから、ずっと心細かったんです
TWN_CARA	00EFE8	33	…お話なら、母に聞いてください…
TWN_CARA	00F016	39	また、すぐに出て行ってしまうんですね…
TWN_CARA	00F04A	35	ずっと、ひとりで旅してるんですか？
TWN_CARA	00F06D	31	ひとりで…さびしくないですか？
TWN_CARA	00F0A0	17	あ、あの、これ…
TWN_CARA	00F0BE	21	ハンターのお守りです
TWN_CARA	00F0D3	23	…無事でいてください…
TWN_CARA	00F0EA	33	(お礼に何かあげた方がいいかな)
TWN_CARA	00F10B	23	グレイスリングをあげる
TWN_CARA	00F122	21	ジェムレンズをあげる
TWN_CARA	00F137	21	ザアルナッツをあげる
TWN_CARA	00F153	33	(お礼に何かあげた方がいいかな)
TWN_CARA	00F174	23	グレイスリングをあげる
TWN_CARA	00F18B	21	ジェムレンズをあげる
TWN_CARA	00F1A7	33	(お礼に何かあげた方がいいかな)
TWN_CARA	00F1C8	23	グレイスリングをあげる
TWN_CARA	00F1DF	21	ザアルナッツをあげる
TWN_CARA	00F1FB	33	(お礼に何かあげた方がいいかな)
TWN_CARA	00F21C	23	グレイスリングをあげる
TWN_CARA	00F23A	33	(お礼に何かあげた方がいいかな)
TWN_CARA	00F25B	21	ジェムレンズをあげる
TWN_CARA	00F270	21	ザアルナッツをあげる
TWN_CARA	00F28C	33	(お礼に何かあげた方がいいかな)
TWN_CARA	00F2AD	21	ジェムレンズをあげる
TWN_CARA	00F2C9	33	(お礼に何かあげた方がいいかな)
TWN_CARA	00F2EA	21	ザアルナッツをあげる
TWN_CARA	00F313	19	え…いいんですか？
TWN_CARA	00F326	21	ありがとうございます
TWN_CARA	00F348	23	ありがとうございます…
TWN_CARA	00F35F	9	嬉しい…
TWN_CARA	00F375	21	ありがとうございます
TWN_CARA	00F38A	23	きっと、みんな喜びます
TWN_CARA	00F3AE	31	いい子だから、じっとしててね…
TWN_CARA	00F3DA	37	きれいにしないと、病気になっちゃうよ
TWN_CARA	00F40C	39	あなたが、薬を取ってきてくれるなんて…
TWN_CARA	00F433	35	びっくりしたけど…うれしかったです
TWN_CARA	00F456	31	優しい人だって、わかったから…
TWN_CARA	00F482	31	おかげで、病気が治りそうです…
TWN_CARA	00F4AE	25	エンカクが病気になって…
TWN_CARA	00F4C7	21	目を覚まさないんです
TWN_CARA	00F4E9	31	エンカクが、病気になったんです
TWN_CARA	00F515	33	おじさん、早く帰ってこないかな…
TWN_CARA	00F543	31	薬を、ありがとうございました…
