ラギの成長は、驚くほど早い。一歳の\n誕生日を迎えるころには、すっかり\n大人になっているだろう。\nはばたく力も上がっている。運動の\nために走らせていたら、一瞬だけど\n体が浮かんだ。この分だと、本当に\n空を飛べるかもしれない！	라기의 성장은 놀랄 만큼 빠르다.첫 생일 즈음이면 완전히 어른이 되어 있을 것이다.날갯짓하는 힘도 늘었다.운동 삼아 달리게 했더니 잠깐이지만 몸이 떠올랐다.이 정도면 정말 하늘을 날지도 몰라!
中間層には、外周部の構造を変える\n回転機構が存在する。\nこれを作動させると、外周部8階と\n9階が一部つなぎ変わり、移動可能な\n範囲が変化する。\n9階から8階、8階から6階に\n移る際には重要な場所となるだろう。	중간층에는 외주부의 구조를\n바꾸는 회전 기구가 있다.이걸\n작동시키면 외주부 8층과 9층의\n연결이 일부 바뀌어 이동 범위가\n변한다.9층에서 8층,8층에서\n6층으로 갈 때 중요한 장소가\n될 것이다.
他種自律構造体との同調・制御。\n複雑かつ巨大な構造体と同調するには\nそれに比例して高度な思考レベルが\n必要となる。\nしかし、思考レベル80以上の個体の\n生産は、自我発生の可能性が極めて\n高いので、全面的に禁じられている。	타종 자율 구조체와의 동조・제어.복잡하고 거대한 구조체와 동조하려면 그에 비례해 고도의 사고 레벨이 필요하다.하지만 사고 레벨 80 이상 개체의 생산은 자아 발생 가능성이 극히 높아 전면 금지돼 있다.
外部防壁内の戦力が著しく消耗し、\n内部防壁内の戦力投入が不可欠と\n判断された時点で、第2種警戒態勢が\n発令される。\nただし、内部防壁の開放は、同時に\n司令塔への侵入を許すことになるので\n戦力運用は慎重に行わねばならない。	외부 방벽 내 전력이 현저히\n소모되어 내부 방벽 내 전력\n투입이 불가결하다고 판단된\n시점에 제2종 경계 태세가\n발령된다.다만 내부 방벽 개방은\n사령탑 침입을 허용하게 되므로\n전력 운용은 신중해야 한다.
帝国暦89年2の月18日、\n帝都近海の海底に、微弱な動力反応が\n探知された。\n予備調査の結果、これは休眠状態の\n遣跡のもので、起動時の動力指数は\n帝国の保有するあらゆる遣跡のそれを\n凌駕しうると試算された。	제국력 89년 2월 18일,제도\n근해 해저에서 미약한 동력\n반응이 탐지되었다.예비 조사\n결과 이는 휴면 상태 유적의\n것으로,기동 시 동력 지수는\n제국이 보유한 모든 유적을\n능가한다고 시산되었다.
彼がなぜ異端の誕生を遂げたのか、\nそれは定かではない。彼が私のもとで\n幼き日を過ごしたのも、単なる偶然で\nしかなかったのかもしれない。\nしかし、彼は私を乗り手に選び、\n塔によって故郷を滅ぼされた私もまた\n彼の翼と力を欲した。	그가 왜 이단으로 태어났는지는\n확실치 않다.그가 내 곁에서\n어린 시절을 보낸 것도 단순한\n우연이었을지 모른다.하지만 그는\n나를 탑승자로 택했고,탑에\n고향을 잃은 나 역시 그의\n날개와 힘을 원했다.
慣例に基づき、予備調査によって得た\n情報を皇室伝承と比較したところ、\n当該遣跡は、旧世紀の禁断兵器\n『塔』のひとつであることが判明。\n皇帝陛下の動命により、全ての発掘\n作業は中断され、塔の再起動に全力が\n注がれることとなった。	관례에 따라 예비 조사로 얻은\n정보를 황실 전승과 비교한\n결과,해당 유적은 구세기의 금단\n병기 『탑』중 하나로\n판명되었다.황제 폐하의 명으로\n모든 발굴은 중단되고 탑의\n재기동에 전력이 기울여졌다.
我々の旅は、空の塔・シェルクーフを\nゲオルギウスに沈めることで終わり、\n力を使い果たした我が友は、肉体を\n捨てて深い眠りについた。\nそれが、再び生ある身体に目覚め、\n新たな乗り手として君を選んだという\nわけだ。	우리의 여행은 하늘의\n탑・셸쿠프를 게오르기우스에\n가라앉힘으로써 끝났고,힘을 다\n쓴 나의 벗은 육체를 버리고\n깊은 잠에 들었다.그것이 다시\n눈을 떠 새 탑승자로 너를\n택했다는 것이다.
戦いが終わった時、我が友であった\nドラゴンは、自らの存在の秘密を\n私に託して去っていった。\nのちにシーカーの一冥となった私は、\n「編み人」達の協力を得て、それを\n読み解こうとしてきたが、全てを解明\nするには至らなかった。	싸움이 끝났을 때 나의 벗이었던\n드래곤은 자신의 존재의 비밀을\n내게 맡기고 떠나갔다.훗날\n시커가 된 나는 「엮는 자」들의\n협력을 얻어 그것을 풀어내려\n해왔지만,모두 밝히지는 못했다.
攻性生物を倒した後、儀は初めて\n旧世紀の遣跡に入った。\n遣跡の中は、想像とはまるで違った。\n番人のように襲ってくる攻性生物の\n群れ、大陸全てが潤うほどの湖、\n奇妙な機械が眠り続ける迷宮。\nそこには、死の匂いだけがあった。	공성생물을 쓰러뜨린 뒤 나는\n처음으로 구세기의 유적에\n들어갔다.유적 안은 상상과 전혀\n달랐다.파수꾼처럼 덮쳐오는\n공성생물의 무리,대륙을 적실\n만한 호수,기묘한 기계가 잠든\n미궁.죽음의 냄새뿐이었다.
旧世紀の技術を持たぬ辺境の民は、\n我が軍にとって斉威とはなり得ない。\n真の斉威は、我が軍と同じく旧世紀の\n力を有するもの、すなわち攻性生物で\nある。生物兵器として強大な戦闘力を\n与えられた彼らは、生身の人間では\n到底対抗し得ない外敵である。	구세기의 기술이 없는 변방\n백성은 우리 군에게 위협이 못\n된다.진정한 위협은 우리처럼\n구세기의 힘을 지닌 것,즉\n공성생물이다.생물병기로서 강대한\n전투력을 지닌 그들은 맨몸의\n인간으로는 못 당할 외적이다.
旧世紀文明の力は、地上にはびこる\n攻性生物を駆逐し、再び人類を世界の\n主人とするために行使される。\n帝国の領土拡大は、より多くの遣跡や\nエンジンを確保するためであり、\nそれらは全て、攻性生物から人民を\n守るために有効利用されるのである。	구세기 문명의 힘은 지상에 창궐하는 공성생물을 몰아내고 인류를 다시 세계의 주인으로 만들기 위해 쓰인다.제국의 영토 확장은 더 많은 유적과 엔진을 얻기 위함이며,모두 공성생물로부터 인민을 지키는 데 쓰인다.
飛ぶ練習をするために、村の外に\n出ていた儀らだけが助かった。\n不思議と涙は出なかった。目の前で\n村が燃えているのに、なにか悪い夢の\nように思えて仕方なかった。\nむしろ、その後に起きたラギの異変が\n儀を恐れさせた。	날아오르는 연습을 하려고 마을 밖에 나가 있던 나만 살아남았다.이상하게 눈물은 나오지 않았다.눈앞에서 마을이 불타는데도 그저 나쁜 꿈 같았다.오히려 그 뒤 일어난 라기의 이변이 나를 두렵게 했다.
