kind	count	slot_min	bytes	chars	first	text
draft	11		237	114	TWN_E006+00B3AF	戦いに傷ついたシーカー達から、\nアゼルが姿を消したと聞かされるエッジ。\n「編み人」ザドクは、アゼルの行き先は\nウルの地下だと推測する。なぜなら、\nドラゴン同様、彼女もウルのプラントで\n創造されたからだ。\n \n(未完成・将来セリフ組み込み予定)\n
draft	11		23	11	TWN_E006+00BD8E	深彼地図な渡死絶を深る
draft	11		31	15	TWN_E006+00BDA5	見で深っている住のパーツを受う
draft	11		23	11	TWN_E006+00BD77	見で深っている傷を受う
dialog	11		9	4	TWN_CARA+00944B	話をする
draft	11		315	152	TWN_E006+00A9DA	酒場の主人から話を聞くエッジ。\nこの近くには「塔」と呼ばれる遣跡があり\nクレイメン艦隊はそこに向かったという。\nこの街に住んでいるパエットという男が、\n塔の事を詳しく知っているらしい。\nエッジは、その男が描いたという塔の総を\n手に入れる。そこには、ドラゴンが見せた\n幻と同じ光景があった。\n \n(未完成・将来操作可能予定)\n
draft	11		7	3	TWN_E006+00BD70	隊長発
narration	10		23	11	TWN_CAMP+012719	(         )
dialog	9		16	7	FLD_A5+00E27A	<01>       
dialog	9		8	2	TWN_ZOAH+00FF57	<09>\n<09>ソ…<15><02>
dialog	9	50	9	4	TWN_CAMP+00F463	そうか…
dialog	9		23	11	BTL_A7+053BA7	侵入物排除システム作動
narration	8		35	17	FLD_A7+02B35F	(ずいぶん外れまでやってきたな…)
narration	8		29	14	TWN_CARA+003E4D	(旧世紀の機械が置いてある)
dialog	8		4	1	FLD_C8+014B72	<!DB>械
dialog	8		4	1	FLD_C8+014B90	<01>北
dialog	8		2	1	FLD_C8+015292	」
ui	8		2	1	FLAGEDIT+001389	ね
dialog	8		6	3	FLD_C8+014D60	サーよ
dialog	8		17	8	BTL_C4+0540EF	ステータスクリア
dialog	8		11	5	BTL_D5+05AC39	ビクシオマ
slot	8	29	13	6	TWN_SEEK+012773	マサーンの話
dialog	8		11	5	TWN_CAMP+00FD2F	夜まで待つ
dialog	8		11	5	TWN_CAMP+00FD0E	朝まで待つ
slot	8	19	9	4	TWN_CAMP+00BCAA	遣跡の話
narration	7		23	11	TWN_ZOAH+00C124	(きれいな飾り窓だ…)
narration	7		21	10	TWN_ZOAH+00DE80	(木製のテーブルだ)
narration	7		23	11	TWN_SEEK+00439C	(柱に棚がついている)
dialog	7		5	2	TWN_CARA+00C75E	え？
dialog	7		17	8	BTL_A7+053C00	回避システム不良
dialog	7		11	5	FLD_C8+0150DD	塔 最上層
dialog	7		9	4	TWN_CARA+009768	売らない
dialog	7		13	6	BTL_C2+057856	対攻性生物弾
dialog	7		7	3	BTL_A5+057C73	溶解液
dialog	7		9	4	BTL_B5+052344	瞬間移動
dialog	6		39	19	FLD_A5+00DDBC	                   
narration	6		23	11	TWN_CAMP+012913	(    ？    )
narration	6		4	1	TWN_CAMP+013E1C	(<03>
narration	6		24	10	TWN_CAMP+013E01	(<03><01>●●●●●●●●●<03>
narration	6		24	10	TWN_CAMP+0140A4	(<03><02>♪♪♪♪♪♪♪♪♪<03>
narration	6		24	10	TWN_CAMP+013F60	(<03><03>●●●●●●●●●<03>
narration	6		29	14	TWN_ZOAH+01C334	(あの男はここの住人らしい)
narration	6		23	11	TWN_ZOAH+00B853	(あれは水道管らしい)
narration	6		39	19	TWN_ZOAH+01E1FF	(何か話してるけど…よく聞こえないな)
narration	6		33	16	TWN_CARA+003AAF	(旅の荷物をまとめてあるようだ)
narration	6		21	10	TWN_CARA+003C03	(木箱が置いてある)
narration	6		27	13	TWN_ZOAH+00BB35	(森でとれた物だろうか？)
narration	6		25	12	TWN_ZOAH+00B83A	(水の流れる音がする…)
narration	6		17	8	TWN_SEEK+0048C7	(簡素な寝床だ)
narration	6		21	10	TWN_CARA+003A9A	(荷物が置いてある)
narration	6		33	16	TWN_ZOAH+00BB14	(見なれない植物だ…食用らしい)
narration	6		23	11	TWN_ZOAH+013297	(門番のアブネルだ…)
dialog	6		6	2	TWN_SEEK+015656	<16>れた
dialog	6	41	39	19	FLD_A5+00F18D	■                  
dialog	6		20	9	TWN_CAMP+013E20	●●●●●●●●●<03>
dialog	6		31	15	TWN_SEEK+015616	そのために、強い力を与えられ…
dialog	6		17	8	FLD_C8+013889	のコントロールを
dialog	6		9	4	TWN_CAMP+00F3A8	ふうん…
slot	6	19	19	9	TWN_CAMP+00C097	ガリル砂漠の越え方
dialog	6		15	7	TWN_CAMP+00FCE9	キャンプを出る
dialog	6		35	17	TWN_SEEK+015669	ショック状態を解除する処置を行った
dialog	6		33	16	FLD_C8+01389A	ダイレクトアクセスに切りかえます
dialog	6		33	16	TWN_SEEK+015635	副産物として、心を生じさせたのだ
slot	6	17	11	5	FLD_C8+014D3C	塔 最下層
dialog	6		39	19	TWN_SEEK+0155EF	彼女は、塔の制御を尋うために創造された
dialog	6		13	6	FLD_B6+00AAB9	現在閉鎖中…
dialog	6		19	9	FLD_C2+00AD28	緊急非常事態発令！
dialog	6		23	11	TWN_SEEK+01568C	間もなく目覚めるだろう
dialog	6		9	4	BTL_B2+04FC6D	集中砲火
dialog	6		2	1	TWN_CARA+00984D	！
narration	5		23	11	TWN_CAMP+01261C	(   ？？？   )
narration	5		23	11	TWN_CAMP+012E1B	(  ？？？  ？？)
narration	5		23	11	TWN_CAMP+012E04	( ？？？  ？？？)
narration	5		11	5	FLD_B5+0099B2	(………)
narration	5		23	11	TWN_CAMP+013968	(■■■■■■■■■)
narration	5		39	19	TWN_ZOAH+0186E0	(あいつは…アルドーという名だったな)
narration	5		33	16	TWN_ZOAH+03B0A5	(あいつは…ベゼルとかいったな)
narration	5		21	10	TWN_ZOAH+00DCF5	(つぼが置いてある)
narration	5		35	17	TWN_ZOAH+00DD0A	(つぼの中の酒が光を放っている…)
narration	5		37	18	TWN_ZOAH+00DE3C	(中身がすけるほど薄く削ってある…)
narration	5		31	15	TWN_CARA+00B0C7	(儀にも慣れてきたみたいだな)
narration	5		31	15	TWN_ZOAH+00DE61	(大きなテーブルが出してある)
narration	5		25	12	TWN_CARA+003DA6	(大きな箱が置いてある)
narration	5		19	9	TWN_CARA+00966B	(忙しそうだな…)
narration	5		31	15	TWN_ZOAH+00DE1D	(攻性生物の殻で作った容器だ)
narration	5		33	16	TWN_ZOAH+00DDFC	(透明な容器に酒が詰まっている)
narration	5		37	18	TWN_CARA+00967E	(道具屋のバイカが仕事をしている…)
narration	5		23	11	TWN_CAMP+012E32	(？  ？？？  ？)
narration	5		23	11	TWN_CAMP+012E49	(？？  ？？？  )
narration	5		23	11	TWN_CAMP+012DED	(？？？  ？？？ )
narration	5		23	11	TWN_CAMP+0127FF	(？？？？？？？？？)
dialog	5		12	5	FLD_C8+0151D3	<!E0>14階 東
dialog	5		22	9	BTL_T0+054AFD	<03><01>レーザーを発射せよ<03>
dialog	5		20	8	FLD_C8+014826	<03>\nローター・パイル<03>
dialog	5		4	1	FLD_B6+00A0DA	<0D>…
dialog	5		4	1	TWN_CAMP+00CFBC	<11>？
dialog	5		19	9	TWN_CAMP+00C850	いいって、いいって
dialog	5		7	3	TWN_CARA+0171F3	うん…
dialog	5		21	10	TWN_ZOAH+022A56	そ、そんなことないさ
dialog	5		9	4	1ST_READ+03D479	ゾアの街
dialog	5		17	8	BTL_A7+053BC7	レーザーストーム
dialog	5		9	4	BTL_A3_2+054E39	体当たり
dialog	5		33	16	TWN_CAMP+00F9A0	何もわからないままでいたくないの
dialog	5		17	8	BTL_A7+053BD8	回避システム作動
dialog	5		31	15	TWN_CAMP+00F981	塔に行くのは、今でも怖いけど…
dialog	5		21	10	FLD_C2+00ABE1	第2種警戒態勢発令！
dialog	4		39	19	FLD_A5+00D965	                  ロ
dialog	4		39	19	FLD_A5+00D98C	                 ロー
dialog	4		39	19	FLD_A5+00D9B3	                ローリ
dialog	4		39	19	FLD_A5+00D9DA	               ローリン
dialog	4		39	19	FLD_A5+00DA01	              ローリング
dialog	4		39	19	FLD_A5+00DA29	             ローリングス
dialog	4		39	19	FLD_A5+00DA50	            ローリングスタ
dialog	4		39	19	FLD_A5+00DA77	           ローリングスター
dialog	4		39	19	FLD_A5+00DA9E	          ローリングスタート
dialog	4		39	19	FLD_A5+00DAC5	         ローリングスタート！
dialog	4		39	19	FLD_A5+00DAEC	        ローリングスタート！ 
dialog	4		39	19	FLD_A5+00DB14	       ローリングスタート！  
dialog	4		39	19	FLD_A5+00DB3C	      ローリングスタート！   
dialog	4		39	19	FLD_A5+00DB64	     ローリングスタート！    
dialog	4		39	19	FLD_A5+00DB8C	    ローリングスタート！     
dialog	4		39	19	FLD_A5+00DBB4	   ローリングスタート！      
dialog	4		39	19	FLD_A5+00DBDC	  ローリングスタート！       
dialog	4		39	19	FLD_A5+00DC04	 ローリングスタート！        
narration	4		23	11	TWN_CAMP+012B80	(       ？ )
narration	4		23	11	TWN_CAMP+012B69	(      ？  )
narration	4		23	11	TWN_CAMP+012B52	(     ？   )
narration	4		23	11	TWN_CAMP+013A4E	(    ■    )
narration	4		23	11	TWN_CAMP+013A65	(    ◆    )
narration	4		23	11	TWN_CAMP+013B06	(   ■■■   )
narration	4		23	11	TWN_CAMP+013B1D	(   ◆◆◆   )
narration	4		23	11	TWN_CAMP+012B24	(   ？     )
narration	4		23	11	TWN_CAMP+013BBE	(  ■■■■■  )
narration	4		23	11	TWN_CAMP+013BD5	(  ◆◆◆◆◆  )
narration	4		23	11	TWN_CAMP+012B0D	(  ？      )
narration	4		23	11	TWN_CAMP+013C76	( ■■■■■■■ )
narration	4		23	11	TWN_CAMP+013C8D	( ◆◆◆◆◆◆◆ )
narration	4		23	11	TWN_CAMP+012AF6	( ？       )
narration	4		26	10	TWN_CAMP+0145B1	(<03><02>♪<03><01>♪♪♪♪♪♪♪♪<03>
narration	4		26	10	TWN_CAMP+014594	(<03><02>♪♪<03><01>♪♪♪♪♪♪♪<03>
narration	4		26	10	TWN_CAMP+014577	(<03><02>♪♪♪<03><01>♪♪♪♪♪♪<03>
narration	4		26	10	TWN_CAMP+01455A	(<03><02>♪♪♪♪<03><01>♪♪♪♪♪<03>
narration	4		26	10	TWN_CAMP+01453D	(<03><02>♪♪♪♪♪<03><01>♪♪♪♪<03>
narration	4		26	10	TWN_CAMP+014520	(<03><02>♪♪♪♪♪♪<03><01>♪♪♪<03>
narration	4		26	10	TWN_CAMP+014503	(<03><02>♪♪♪♪♪♪♪<03><01>♪♪<03>
narration	4		26	10	TWN_CAMP+0144E6	(<03><02>♪♪♪♪♪♪♪♪<03><01>♪<03>
narration	4		24	10	TWN_CAMP+013F45	(<03><05>●●●●●●●●●<03>
narration	4		26	10	TWN_CAMP+0140BF	(<03><07>♪<03><02>♪♪♪♪♪♪♪♪<03>
narration	4		26	10	TWN_CAMP+0140DC	(<03><07>♪♪<03><02>♪♪♪♪♪♪♪<03>
narration	4		26	10	TWN_CAMP+0140F9	(<03><07>♪♪♪<03><02>♪♪♪♪♪♪<03>
narration	4		26	10	TWN_CAMP+014116	(<03><07>♪♪♪♪<03><02>♪♪♪♪♪<03>
narration	4		26	10	TWN_CAMP+014133	(<03><07>♪♪♪♪♪<03><02>♪♪♪♪<03>
narration	4		26	10	TWN_CAMP+014150	(<03><07>♪♪♪♪♪♪<03><02>♪♪♪<03>
narration	4		26	10	TWN_CAMP+01416D	(<03><07>♪♪♪♪♪♪♪<03><02>♪♪<03>
narration	4		26	10	TWN_CAMP+01418A	(<03><07>♪♪♪♪♪♪♪♪<03><02>♪<03>
narration	4		24	10	TWN_CAMP+013350	(<03><07>♪♪♪♪♪♪♪♪♪<03>
narration	4		24	10	TWN_CAMP+013DE6	(<03>\n●●●●●●●●●<03>
narration	4		23	11	TWN_CAMP+013D45	(◆◆◆◆◆◆◆◆◆)
narration	4		35	17	TWN_ZOAH+01336B	(あとで、道でも聞いてみようかな)
narration	4		35	17	TWN_ZOAH+028CCA	(あの人、ヤエルという名だったな)
narration	4		33	16	TWN_ZOAH+032FF4	(あの男は…キトールといったな)
narration	4		29	14	TWN_ZOAH+00CA00	(ごく簡単なつくりのイスだ)
narration	4		27	13	TWN_ZOAH+00DF4D	(つぼにはふたがしてある)
narration	4		21	10	TWN_CARA+00B3C6	(よく寝ているな…)
narration	4		25	12	TWN_CARA+00B3DB	(クーリアが眠っている)
narration	4		23	11	TWN_CARA+003C18	(丈夫そうな木箱だ…)
narration	4		31	15	TWN_SEEK+004922	(中身は取り出してあるらしい)
narration	4		25	12	TWN_CARA+00B229	(乗用獣のクーリアだ…)
narration	4		27	13	TWN_CARA+00B122	(儀を警戒してるのかな…)
narration	4		21	10	TWN_CARA+00C6F3	(元気そうな子供だ)
narration	4		25	12	TWN_ZOAH+00B6F3	(大きな木が生えている)
narration	4		27	13	TWN_ZOAH+00CA1D	(小さなイスが置いてある)
narration	4		31	15	TWN_SEEK+00514C	(攻性生物の殻を彫った飾りだ)
narration	4		35	17	TWN_ZOAH+00C13B	(攻性生物の透明な羽で作ってある)
narration	4		27	13	TWN_ZOAH+00FD74	(旅の荷物がまとめてある)
narration	4		21	10	TWN_EXCA+000D19	(旧世紀の発掘物だ)
narration	4		37	18	TWN_ZOAH+00B6CE	(木が育つほど土が肥えているのか…)
narration	4		27	13	TWN_ZOAH+03714D	(熱心に本を読んでいる…)
narration	4		29	14	TWN_ZOAH+03DDCE	(発掘品の加工をしている…)
narration	4		33	16	TWN_CARA+00B0E6	(警戒はしなくなったみたいだ…)
narration	4		29	14	TWN_ZOAH+013405	(門番が見張りをしている…)
narration	4		21	10	TWN_ZOAH+037168	(門番のシフレだ…)
narration	4		21	10	TWN_SEEK+004CF4	(食料が蓄えてある)
narration	4		27	13	TWN_CARA+00B107	(餌を食べるのをやめた…)
narration	4		23	11	TWN_CAMP+012ADF	(？        )
narration	4		23	11	TWN_CAMP+012633	(？？？   ？？？)
dialog	4		36	16	BTL_T0+0556A7	<03><01>タイプセレクトアイコンを選択せよ<03>
dialog	4		7	2	TWN_CARA+005CEF	<09>\n<07>み術
dialog	4		4	1	TWN_CARA+00A133	<0C>…
dialog	4		4	1	TWN_CARA+00A163	<0E>だ
dialog	4		39	17	FLD_A3+02D2C7	<1E><16><1A><01>(ずいぶん外れまでやってきたな…)
dialog	4		4	2	TWN_CARA+0062B2	…)
slot	4	41	39	19	FLD_B5+00A096	…■                 
dialog	4		5	2	FLD_B6+009E07	…？
dialog	4		5	2	TWN_CAMP+00DAC7	ああ
dialog	4		29	14	TWN_ZOAH+00E82E	これ以上はかんべんしてくれよ
dialog	4		9	4	BTL_A5+057C7A	しびれ液
dialog	4		9	4	BTL_T0+053E3B	という。
dialog	4		5	2	BTL_A5+057C13	とげ
dialog	4		19	9	TWN_ZOAH+03DCAE	なんだ、ひやかしか
dialog	4		7	3	BTL_B5+052361	ねらえ
dialog	4		5	2	BTL_B5+052368	やれ
dialog	4		21	10	TWN_ZOAH+03DC62	よう、調子はどうだ？
dialog	4		2	1	TWN_ZOAH+0192C4	れ
dialog	4		17	8	BTL_B5+05231C	アトルムドラゴン
dialog	4		9	4	BTL_X0+05E271	ギリィク
dialog	4		39	19	FLD_A5+00DCCC	グスタート！             
dialog	4		2	1	FLD_B5+00B0EC	コ
dialog	4		39	19	FLD_A5+00DCF4	スタート！              
dialog	4		39	19	FLD_A5+00DD1C	タート！               
dialog	4		17	8	BTL_B5+051FD0	ツァスタバターン
dialog	4		39	19	FLD_A5+00DD6C	ト！                 
dialog	4		13	6	1ST_READ+03D4A6	メル=カヴァ
dialog	4		39	19	FLD_A5+00DC7C	リングスタート！           
dialog	4		39	19	FLD_A5+00DC2C	ローリングスタート！         
dialog	4		39	19	FLD_A5+00DCA4	ングスタート！            
dialog	4		11	5	BTL_A7+053B9C	ヴェロクス
dialog	4		39	19	FLD_A5+00DD44	ート！                
dialog	4		39	19	FLD_A5+00DC54	ーリングスタート！          
dialog	4		5	2	BTL_B5+052152	了解
dialog	4		25	12	TWN_SEEK+004579	何かの役に立つかもしれん
