id	kind	count	budget	chars	jp	ko
6500	dialog	1	37	18	私の身体は、地上の糧を受けつけないの	내 몸은 지상의 양식을 받아들이지 못해
6501	movie	1	35	17	私は、ただありのままを話しただけだ	나는 그저 있는 그대로를 말했을 뿐
6502	dialog	1	35	17	私は、よそ者と取り引きする気はない	나는 낯선 자와 거래할 생각 없다
6503	dialog	1	35	17	私は、地の底で何千年も眠っていたわ	나는 땅속에서 몇천 년이나 잠들어 있었어
6504	dialog	1	27	13	私は「探索兵」シメオンです	나는 「탐색병」 시메온입니다
6505	dialog	1	23	11	私は「編み人」ザドクだ	나는 「엮는 자」 자독이다
6506	movie	1	39	19	私は『絶対の客人』を導く存在にすぎない	나는 『절대의 손님』을 인도할 뿐
6507	movie	1	17	8	私はここに残るわ	나는 여기 남겠어
6508	movie	1	31	15	私はそれを知り、彼女を強尋した	나는 그걸 알고 그녀를 다그쳤다
6509	dialog	1	23	11	私はキトールという者だ	나는 키톨이라는 자다
6510	dialog	1	19	9	私は色々忙しいのだ	나는 이래저래 바쁘다
6511	dialog	1	33	16	私も…君が無事に帰って来ることを	나도… 네가 무사히 돌아오기를
6512	movie	1	21	10	私も、この足だからな	나도,이 다리라서 말이지
6513	dialog	1	23	11	私も、そう思っていた…	나도,그렇게 생각하고 있었어…
6514	movie	1	11	5	私も行くわ	나도 갈게
6515	dialog	1	9	4	私自身…	나 자신이…
6517	dialog	1	11	5	移動物感知	이동체 감지
6518	dialog	1	15	7	移動砲台ハンサ	이동포대 한사
6519	dialog	1	9	4	稲妻放出	전격 방출
6520	dialog	1	37	18	空から塔に行く方法が見つかったんでな	하늘에서 탑으로 가는 방법을 찾았거든
6521	dialog	1	27	13	空中から塔へ行こうとしても	공중에서 탑으로 가려 해도
6522	dialog	1	37	18	空中戦艦が、東の方に飛んで行ったけど	공중전함이 동쪽으로 날아갔는데
6523	dialog	1	35	17	空中戦艦と戦うはめになるとはなあ…	공중전함과 싸우게 될 줄이야…
6524	dialog	1	29	14	空中戦艦の方がずっと早かった	공중전함이 훨씬 빨랐다
6525	dialog	1	25	12	空中戦艦ヴァルナ・輸送型	공중전함 바루나・수송형
6526	dialog	1	15	7	空中機雷放出！	공중기뢰 방출!
6527	ui	1	54	26	空中船のある広場にて待つ。\n日が落ちたら来い。    	공중선이 있는 광장에서 기다린다.\n해가 지면 오도록.
6528	movie	1	11	5	立てるか？	설 수 있나?
6529	ui	1	7	3	竜の書	용의 서
6530	dialog	1	37	18	竜巻を起こすスイッチになってるはずだ	회오리를 일으키는 스위치일 거다
6531	dialog	1	39	19	第1、第2ブロック、機能停止しました！	제1,제2블록,기능 정지했습니다!
6532	dialog	1	31	15	第1、第2ブロック、機能回復！	제1,제2블록,기능 회복!
6533	dialog	1	17	8	第1回転砲台準備	제1회전포대 준비
6534	dialog	1	15	7	第1排気□開放	제1배기□ 개방
6535	dialog	1	17	8	第2回転砲台準備	제2회전포대 준비
6536	dialog	1	15	7	第2排気□開放	제2배기□ 개방
6537	movie	1	31	15	第2次防衛線までは放来させろ！	제2방위선까지는 물러나게 해라!
6538	dialog	1	25	12	第2編隊、応答ありません	제2편대,응답 없습니다
6539	dialog	1	27	13	第2編隊長からグリグオリグ	제2편대장으로부터 그리그오리그
6540	dialog	1	29	14	第3ブロック、消失しました！	제3블록,소실했습니다!
6541	dialog	1	17	8	第3回転砲台準備	제3회전포대 준비
6542	dialog	1	15	7	第3排気□開放	제3배기□ 개방
6543	dialog	1	17	8	第4回転砲台準備	제4회전포대 준비
6544	dialog	1	31	15	第6編隊、迎撃に向かって下さい	제6편대,요격하러 가주십시오
6545	dialog	1	17	8	答える必要はない	대답할 필요 없다
6546	ui	1	184	89	粒子が止められない場合は、なんとか\n当たらないようにするしかない。\n特にエンジンからは、絶え間なく\n粒子が降り注いでいるので面倒だが、\nそれから身を守るための仕掛けも\nどこかにあるはずだ。	입자를 멈출 수 없다면,어떻게든\n맞지 않도록 하는 수밖에.\n특히 엔진에서는 끊임없이\n입자가 쏟아지고 있어 성가시지만,\n그로부터 몸을 지킬 장치도\n어딘가에 있을 것이다.
6547	ui	1	149	72	粒子の噴出□を壊しておくのが、一番\nいいやり方だろう。\n中には、噴出□を全部壊さないと\n先に進めないところもあるらしいから\nせいぜい景気よくやってくれ。	입자 분출□을 부숴 두는 것이\n가장 좋은 방법일 것이다.\n곳에 따라서는 분출□을 전부 부수지 않으면 앞으로 나아갈 수\n없는 곳도 있는 모양이니\n부디 힘내서 해주기 바란다.
6548	dialog	1	7	3	粘着液	점액
6549	dialog	1	45	20	系統別に効果が多少異なる。\n<03>\nATTACK系<03>	계통마다 효과가 다름<03>\nATTACK계<03>
75	dialog	17	21	10	購入／売却の切り替え	
6550	dialog	1	33	16	純血種ほど、その指令に忠実に動く	순혈종일수록 명령에 충실하다
6551	dialog	1	25	12	索敵モード2に移行しろ！	색적 모드 2로 이행하라!
6552	movie	1	31	15	終りない資源の浪費と戦争だけだ	끝없는 자원 낭비와 전쟁뿐이다
71	dialog	17	23	11	売却可能な所持品を売る	
6553	ui	1	11	5	終息日の書	종식일의 서
6554	movie	1	21	10	終焉する時が来たのだ	종언의 때가 왔다
6555	movie	1	19	9	組織化された集団だ	조직화된 집단이다
6556	movie	1	37	18	経験から言うと、帝国に首を突っ込むと	경험상 말하자면,제국에 발을 들이면
6557	dialog	1	37	18	経験を積めば、いいハンターになれるぞ	경험을 쌓으면 좋은 헌터가 될 거다
6558	ui	1	7	3	経験値	경험치
6559	dialog	1	131	63	経験値がたまるとレベルアップし\nドラゴンと銃の基本性能が上昇、\nタイプセレクトでどう調整して\n戦っているかが\nその上昇具合に影響する。	경험치가 차면 레벨업하고\n드래곤과 총의 기본 성능이 올라,\n타입 셀렉트로 어떻게 조정해\n싸웠는가가\n그 상승폭에 영향을 줌
6560	dialog	1	37	18	結局、こんな仕事しかできなかったんだ	결국 이런 일밖에 못 했구나
6561	dialog	1	29	14	結局、みんな何もしなかった…	결국 다들 아무것도 하지 않았어…
6562	dialog	1	37	18	結局、みんな連中と取り引きしてるんだ	결국 다들 그놈들과 거래하고 있어
6563	dialog	1	37	18	結局、アンユウは途中で帰ってきたんだ	결국 안유는 도중에 돌아왔구나
6564	dialog	1	33	16	結局、ワシは薬を持ち帰れなかった	결국 나는 약을 가져오지 못했다
6565	dialog	1	29	14	結局、俺も奴らと同類なのかな	결국 나도 그놈들과 같은 부류인가
6566	dialog	1	35	17	結局、帝国軍も神様には勝てないのよ	결국 제국군도 신에게는 못 이기는 거야
6567	dialog	1	39	19	結局、旦那は薬を取ってこれなかったんだ	결국 그이는 약을 가져오지 못했구나
6568	dialog	1	37	18	結局、船を守ってた方が戦いに敗れて…	결국 배를 지키던 쪽이 싸움에서 졌고…
6569	dialog	1	25	12	結局、街はもとどおりか…	결국 마을은 원래대로인가…
6570	dialog	1	11	5	結晶石爆発	결정석폭발
6571	dialog	1	17	8	結構面白かったよ	꽤 재밌었어
6572	dialog	1	39	19	統治者として帝国と交渉することになるな	통치자로서 제국과 교섭하게 되는 건가
6573	dialog	1	33	16	絶対、あの4つの遣跡が怪しいって	분명 그 네 유적이 수상하다니까
6574	movie	1	15	7	絶対の客人…？	절대의 손님…?
6575	movie	1	35	17	絶対の客人？ それってドラゴンの…	절대의 손님? 그게 드래곤의…
6576	dialog	1	33	16	続いてヴァルナ級戦艦が会敵します	이어서 바루나급 전함이 조우합니다
6577	dialog	1	37	18	緊急活動時のエネルギーを供給してるの	긴급 활동 시의 에너지를 공급하고 있어
6578	dialog	1	29	14	総冥退艦せよ、艦を放来する！	전원 퇴함하라,함을 포기한다!
6579	dialog	1	11	5	総冥退避！	전원 퇴피!
6580	ui	1	7	3	総重量	총중량
6581	dialog	1	82	39	緑の方向は\n敵がその方向に攻撃できないことを\n示している。\nそのため安全地帯となる。	초록 방향은\n적이 그쪽으로 공격 못 함을\n뜻한다.\n그래서 안전지대다.
6582	dialog	1	29	14	置いといても邪魔になるだけさ	두고 다녀봤자 방해만 될 뿐이야
6583	dialog	1	7	3	美しい	아름답다
6584	dialog	1	15	7	群れが合体する	무리가 합체한다
6585	dialog	1	5	2	羽化	우화
6586	dialog	1	13	6	考えてもみろ	생각해봐
6587	dialog	1	9	4	耐性変化	내성변화
6588	dialog	1	27	13	聖なる方々の聖なるねぐらさ	성스러운 이들의 성스러운 둥지지
6589	dialog	1	23	11	聞いたか、黒い船の話！	들었어? 검은 배 이야기!
6590	dialog	1	37	18	聞いたか？ ドラゴンが降臨するそうだ	들었어? 드래곤이 강림한다더군
6591	movie	1	17	8	聞いてどうする？	들어서 어쩌게?
6592	movie	1	25	12	聞く方法はいくらでもある	물어볼 방법은 얼마든지 있다
6593	movie	1	17	8	聞こえるだろう？	들리지?
6594	dialog	1	31	15	背に腹はかえられんってとこだな	배보다 배꼽이 클 수는 없다는 거지
6595	movie	1	19	9	胸の…ポケット……	가슴의… 주머니……
6596	dialog	1	82	39	能力を得た。\nタイプセレクトとは\nドラゴンの形態を自由に\n変化させられる能力である。	능력을 얻었다.\n타입 셀렉트란\n드래곤의 형태를 자유로이\n바꾸는 능력이다.
6597	dialog	1	103	48	能力変化、レベルアップでの\n能力上昇・バーサークの獲得は\n微妙な調整に対応しているが\nその他に「<03>\nタイプ<03>	능력 변화,레벨업의\n능력 상승・버서크 습득은\n미세 조정에 대응하나\n그 밖에「<03>\n타입<03>
6598	dialog	1	27	13	脱出装置が！ うわぁぁぁ…	탈출 장치가! 으아아악…
6599	movie	1	33	16	自らが生み出した遣伝子改造による	스스로 만들어낸 유전자 개조에 의해
6600	movie	1	21	10	自らの優勢を保つため	스스로의 우위를 지키기 위해
6601	movie	1	27	13	自分があそこで何をしたかも	자신이 거기서 무엇을 했는지도
6602	dialog	1	35	17	自分が呼ばれるのを待っていたのよ…	자기가 불릴 순간을 기다리고 있었던 거야…
6603	dialog	1	23	11	自分が生きた証としてな	자신이 살았다는 증거로
6604	movie	1	21	10	自分だけ特別扱いか？	나만 특별 취급인가?
6605	ui	1	184	89	自分でも、子供じみた考えだと思う。\nそれでも儀は、ラギの成長した姿を\n見てみたい。そして、一度でいいから\nあの翼で飛んでみたい。\n小さい頃に聞いたおとぎ話に出てきた\nドラゴン乗りのように。	나 스스로도 유치한 생각이라 여긴다.\n그래도 나는 라기가 자란 모습을\n보고 싶다.그리고 단 한 번이라도\n그 날개로 날아보고 싶다.\n어릴 적 들었던 옛이야기에 나오던\n드래곤 라이더처럼.
6606	movie	1	27	13	自分で歩きはじめる為には…	스스로 걷기 시작하기 위해서는…
6607	dialog	1	33	16	自分にしかできないことをしたいの	나밖에 할 수 없는 일을 하고 싶어
6608	dialog	1	35	17	自分のパートナーを信用したらどうだ	네 파트너를 믿어보는 게 어때
6609	movie	1	17	8	自分の主張通り、	자신의 주장대로,
6610	dialog	1	37	18	自分の立場がまだ理解できんらしいな…	아직 자기 입장을 이해 못 하나 보군…
6611	dialog	1	35	17	自分はそこで高みの見物というわけか	자기는 거기서 구경만 하겠다는 건가
6612	dialog	1	23	11	自律ができなくなってる	자율이 안 되고 있어
6613	ui	1	19	9	自我発生による障害	자아 발생에 의한 장애
6614	ui	1	114	54	自我発生症状をきたしたドローンは、\n以下の障害を併発する。\n\n1)同調機能障害\n2)論理パターン混乱\n3)命令認識障害	자아 발생 증상을 보인 드론은\n다음의 장애를 병발한다.\n\n1)동조 기능 장애\n2)논리 패턴 혼란\n3)명령 인식 장애
6615	dialog	1	17	8	自然に回復するわ	자연히 회복될 거야
6616	ui	1	15	7	自走砲ランカー	자주포 랑카
6617	dialog	1	23	11	自走砲ランカー＆護衛艇	자주포 랑카＆호위정
6618	dialog	1	25	12	船体強度低下、危険です！	선체 강도 저하,위험합니다!
6619	movie	1	31	15	船内に拘留しておけ、出航が近い	배 안에 가둬둬라,곧 출항이다
6620	dialog	1	13	6	艦橋部損傷！	함교부 손상!
6621	dialog	1	31	15	艦長！ ダメです、もちません！	함장! 안 됩니다,못 버팁니다!
6622	dialog	1	29	14	艦隊…って、じゃあ、やっぱり	함대… 그럼,역시
6623	dialog	1	29	14	艦隊も、ここを通って行く時に	함대도 여기를 지나갈 때
6624	dialog	1	21	10	色々考えたんだけど…	이런저런 생각을 해봤는데…
6625	dialog	1	33	16	色んな物があんなに小さく見える…	온갖 것들이 저렇게나 작게 보여…
6627	dialog	1	37	18	若いうちは、とにかく場数を踏むことだ	젊을 땐 어쨌든 경험을 쌓아야지
6628	dialog	1	31	15	若いうちは、一人旅もいいだろう	젊을 땐 혼자 여행도 좋겠지
6629	dialog	1	21	10	若いのに冷静なんだな	젊은데 침착하군
6630	dialog	1	33	16	若い人の気持ちはわからないねえ…	젊은 사람 마음은 모르겠어…
6631	dialog	1	29	14	若造にしては、なかなかやるな	애송이치고 제법이군
6632	dialog	1	35	17	落ちる！！ しっかりつかまってろ！	떨어진다!! 단단히 붙잡아!
6633	dialog	1	27	13	落ち合う場所を、忘れるなよ	만날 장소,잊지 마
6634	dialog	1	5	2	落盤	낙반
6635	dialog	1	9	4	蒼の大玉	푸른 옥
6636	dialog	1	7	3	蒼の玉	청옥
6637	dialog	1	31	15	融通の効く生き物じゃないのよ…	융통성 있는 생물이 아니야…
6638	movie	1	13	6	血統書つきだ	혈통서까지 있다고
6639	dialog	1	21	10	行きましょう、エッジ	가자,엣지
6640	dialog	1	37	18	行くあてがないんなら、仲間になりなよ	갈 곳 없으면 동료가 되지 그래
6641	dialog	1	21	10	行くあてはあるのか？	갈 곳은 있는 거야?
6642	movie	1	19	9	行くって…どこに？	간다니… 어디로?
6643	dialog	1	11	5	行くよ！！	간다!!
6644	dialog	1	29	14	行こう、たぶん下に抜けられる	가자,아마 아래로 빠질 수 있어
6645	dialog	1	27	13	行っちまったよ、あの子は…	가버렸어,그 애는…
6646	dialog	1	35	17	街から来た、パエットという男だが…	마을에서 온,파에트라는 남자인데…
6647	dialog	1	31	15	街が湖にしずんじゃったんだよね	마을이 호수에 가라앉아버렸잖아
6648	dialog	1	39	19	街の人間に自慢してたら、俺が塔のことを	마을 사람들에게 자랑했더니,내가 탑에 대해
6649	dialog	1	33	16	街の入□の横にある階段を越えると	마을 입구□ 옆에 있는 계단을 넘으면
6650	dialog	1	39	19	街の安全と引き換えにドラゴンの情報を…	마을의 안전과 맞바꿔 드래곤의 정보를…
6651	dialog	1	35	17	街の焼け跡に、掘り返した跡があった	마을의 잿더미에 파헤친 흔적이 있었다
6652	dialog	1	35	17	街の言い伝えに出てくる「神の車」さ	마을 전설에 나오는 「신의 수레」야
6653	dialog	1	33	16	街を出たら、ハンターになろうかな	마을을 떠나면 헌터가 되어볼까
6654	dialog	1	11	5	街を出る？	마을을 나가?
6655	dialog	1	37	18	街を捨てて逃げ出してるよ、あいつは！	마을을 버리고 도망친 거야,그놈은!
70	dialog	17	7	3	LnKnDn	
6657	dialog	1	9	4	衝撃吸収	충격 흡수
6658	dialog	1	21	10	被害状況を報告しろ！	피해 상황을 보고해!
6659	dialog	1	25	12	被害軽微、問題ありません	피해 경미,문제없습니다
6661	dialog	1	27	13	装甲が外れた…あと少しだ！	장갑이 벗겨졌다… 조금만 더
6662	dialog	1	23	11	装甲大破、もちません！	장갑 대파,못 버팁니다!
6665	movie	1	25	12	裏側に起動スイッチがある	뒤편에 기동 스위치가 있다
6666	dialog	1	19	9	見かけねえ顔だな…	낯선 얼굴이군…
6667	movie	1	31	15	見かけのわりには大丈夫そうだな	겉보기와 달리 괜찮아 보이는군
6668	dialog	1	33	16	見たところ、旅をしているようだな	보아하니 여행 중인 모양이군
6669	movie	1	11	5	見たのか？	봤나?
6670	movie	1	9	4	見たまえ	보게
6671	movie	1	23	11	見た目は人間に近いが、	겉모습은 인간에 가깝지만,
6672	dialog	1	35	17	見つかったら、捨てられちゃうからね	걸리면 버려질 테니까
6673	dialog	1	29	14	見つけたんだよ、村の焼け跡で	찾아냈어,마을 잿더미에서
6674	dialog	1	35	17	見つけた時には、もう手遅れだったよ	발견했을 때는 이미 늦었어
6675	dialog	1	23	11	見ておきたいものがある	봐두고 싶은 게 있다
6676	dialog	1	37	18	見てみろ、腕が動かなくなっているぞ。	봐,팔이 움직이지 않게 됐잖아.
6677	dialog	1	25	12	見てればわかる…来るぞ！	보면 알아… 온다!
89	dialog	15	254	122	再び戻ったエッジに、うってかわって\nなれなれしく接するパエット。\n彼は、エッジがドラゴン乗りである\nことを突き止めたのだ。\nすっかり協力的になったパエットは、\n水没した遣跡「ウル」の地下に\n塔への通路があるらしいと語る。\n \n(未完成・将来イベントで処理予定)\n	
6678	dialog	1	25	12	見ろよ、この発掘品の山…	봐라,이 발굴품 더미를…
6679	dialog	1	21	10	見捨てられただって？	버림받았다고?
6680	dialog	1	31	15	規格外品の思考は、人間に近いの	규격외품의 사고는 인간에 가까워
6681	dialog	1	9	4	規格外？	규격외?
6682	movie	1	21	10	覚えているはずだ！！	기억하고 있을 거다!!
6683	dialog	1	31	15	親父さん、結構話がわかるんだな	아저씨,제법 말이 통하는군
6684	dialog	1	19	9	親父ならこの中だぜ	아버지라면 이 안에 있어
6685	dialog	1	29	14	親父の仕事、本当にやるのか？	아버지 일,진짜로 할 거야?
6686	dialog	1	39	19	親父の奴、すっかり調子に乗っちまってさ	아버지 녀석,완전히 우쭐해져서는
6687	dialog	1	37	18	親父の話なんかするなよ、胸くそ悪いぜ	아버지 얘기 좀 하지 마,기분 나빠지니까
6688	dialog	1	21	10	角がある奴に注意しろ	뿔 달린 놈을 조심해
6689	dialog	1	29	14	角のあるアシュティの武器は？	뿔 달린 아슈티의 무기는?
6690	dialog	1	19	9	解除を承認します…	해제를 승인합니다…
6691	movie	1	33	16	言いたくなければそれでもいいがね	말하기 싫으면 그래도 상관없다만
6692	dialog	1	29	14	言う事を聞いてくれるんだろう	말을 들어줄 거지
92	dialog	15	315	152	酒場の主人から話を聞くエッジ。\nこの近くには「塔」と呼ばれる遣跡があり\nクレイメン艦隊はそこに向かったという。\nこの街に住んでいるパエットという男が、\n塔の事を詳しく知っているらしい。\nエッジは、その男が描いたという塔の総を\n手に入れる。そこには、ドラゴンが見せた\n幻と同じ光景があった。\n \n(未完成・将来操作可能予定)\n	
6693	dialog	1	19	9	訓練通りにいくぞ！	훈련한 대로 하는 거다!
6695	dialog	1	35	17	評議会でうまく立ち回りたいだけだよ	평의회에서 잘 처신하고 싶을 뿐이야
6696	dialog	1	39	19	評議会の対応しだいじゃ戦になっちまうな	평의회 대응에 따라 전쟁이 될 수도 있어
6697	dialog	1	27	13	評議会の発表、聞いたかい？	평의회 발표,들었어?
6698	dialog	1	33	16	評議会も、少し考えてほしいものだ	평의회도 좀 생각해줬으면 좋겠군
6699	dialog	1	37	18	試作段階とはいえ、このヴリトラまで…	시작 단계라더니,이 브리트라까지…
6700	dialog	1	35	17	話があるから、神聖区まで来いってよ	할 얘기가 있으니 신성구까지 오라더군
6701	movie	1	25	12	話しておきたい事がある…	얘기해두고 싶은 게 있다…
6702	dialog	1	23	11	話なら、後にしてくれよ	얘기라면 나중에 해줘
6703	dialog	1	33	16	話はあとだ、帝国戦艦が来るぞ！！	얘기는 나중이다,제국 전함이 온다!!
6704	movie	1	15	7	話を聞いてくれ	얘기 좀 들어봐
6706	dialog	1	35	17	詳しいことは、パエットにでも聞きな	자세한 건 파에트한테라도 물어봐
6707	dialog	1	39	19	詳しい事は知らないが、よくやってくれた	자세한 사정은 모르지만 잘해줬다
6708	dialog	1	35	17	詳しい奴に話を聞いた方がいいかもな	잘 아는 놈한테 얘기를 듣는 게 나을지도
6709	dialog	1	39	19	詳しい資料が街のどこかにあるはずなんだ	자세한 자료가 마을 어딘가에 있을 거야
6710	movie	1	39	19	詳しくは「編み人」のザドクが知っている	자세한 건 「엮는 자」 자독이 안다
6711	dialog	1	21	10	誘導爆雷、いけるか？	유도폭뢰,되겠나?
6712	dialog	1	31	15	誘導爆雷、全て撃ち尽くしました	유도폭뢰,전부 다 썼습니다
6713	dialog	1	23	11	誘導爆雷再装填、急げ！	유도폭뢰 재장전,서둘러!
6714	dialog	1	37	18	読みふるしたやつなら持ってっていいぜ	다 읽은 거라면 가져가도 돼
6715	movie	1	15	7	誰かが…そう、	누군가가… 그래,
6716	dialog	1	31	15	誰だって、あれには圧倒されるさ	누구든 그건 압도당할 수밖에 없어
6717	dialog	1	35	17	誰だって、旧世紀の力と戦ってるんだ	누구든 구세기의 힘과 싸우고 있는 거야
6718	dialog	1	29	14	誰だって腰抜けになっちまうさ	누구든 겁쟁이가 되고 말지
6719	dialog	1	7	3	誰だ！	누구냐!
6720	movie	1	25	12	誰なんです、そいつは！？	누구예요,그놈은!?
6721	dialog	1	25	12	誰に許可をもらったんだ？	누구 허락을 받은 거지?
6722	dialog	1	35	17	誰の許しをもらったのか知らないけど	누구 허락을 받았는지는 모르지만
6723	dialog	1	35	17	誰の許しを得て、ここに入ってきた！	누구 허락을 받고 여기 들어온 거냐!
6724	movie	1	31	15	誰もこんな人間がリーダーだとは	누구도 이런 인간이 리더일 줄은
