id	kind	count	budget	chars	jp	ko
6379	dialog	1	29	14	禁止区域の遣跡には気をつけな	금지구역의 유적은 조심해
6380	dialog	1	35	17	禁止区域の遣跡は、重力を操るそうだ	금지구역의 유적은 중력을 조종한다더군
6381	ui	1	15	7	禁止区域クリア	금지구역 클리어
6382	ui	1	27	13	禁止区域ボス戦(AD＃1)	금지구역 보스전(AD＃1)
6383	ui	1	33	16	禁止区域中ボス戦(クレイメン艦)	금지구역 중간보스전(클레이멘함)
6384	ui	1	15	7	禁止区域進入可	금지구역 진입 가능
6385	movie	1	7	3	私が…	내가…
6386	dialog	1	23	11	私が、私であるために…	내가, 나이기 위해서는…
6387	dialog	1	39	19	私がここまで来られたのはあなたのおかげ	내가 여기까지 올 수 있었던 건 당신 덕분이야
6388	movie	1	39	19	私が眠ってたベッドに、そう記されていた	내가 잠들어 있던 침대에 그렇게 적혀 있었다
6389	movie	1	25	12	私が船をコントロールする	내가 배를 조종하겠다
6390	movie	1	27	13	私が行って、彼とドラゴンを	내가 가서, 그와 드래곤을
6391	dialog	1	39	19	私が開放区にいたことは、黙っててくれよ	내가 개방구에 있었던 건 비밀로 해줘
6392	dialog	1	17	8	私じゃダメだわ…	나로선 안 되겠어…
6393	dialog	1	37	18	私たちを完全に外敵とみなしているのよ	우리를 완전히 외적으로 보고 있는 거야
6394	dialog	1	23	11	私としても不本意だがな	나로서도 본의는 아니지만
6395	dialog	1	35	17	私に、守られる理由なんてないのに…	내가 지켜져야 할 이유 같은 건 없는데…
6396	ui	1	158	76	私にとって、いや、君にとって納得の\nできる終幕を始めよう。\nアゼルと共に塔に来るがいい。\n君たちの侵入コースを開けておく。\n \n        K．F．クレイメン	나에게, 아니, 너에게 납득이\n가는 종막을 시작하자.\n아젤과 함께 탑으로 오도록.\n너희들의 침입 경로는 열어 두마.\n \n        K．F．클레이멘
6397	dialog	1	33	16	私にとっては、大切なひとだったの	나에게는 소중한 사람이었어
6398	dialog	1	39	19	私に与えられた使命は、もう無意味だって	내게 주어진 사명은 이제 무의미하다니
6399	dialog	1	21	10	私に礼を言う事はない	나한테 고마워할 필요 없다
6400	dialog	1	13	6	私のせいで…	나 때문에…
6401	dialog	1	27	13	私のためだけに用意された、	오직 나만을 위해 준비된,
6402	dialog	1	37	18	私の役目は、塔の制御だけだったから…	내 역할은 탑을 제어하는 것뿐이었으니까…
6403	dialog	1	33	16	私の提案を受ける気になったかね？	내 제안을 받아들일 마음이 생겼나?
6404	dialog	1	37	18	私の身体は、地上の糧を受けつけないの	내 몸은 지상의 양식을 받아들이지 못해
6405	movie	1	35	17	私は、ただありのままを話しただけだ	나는 그저 있는 그대로를 말했을 뿐이다
6406	dialog	1	35	17	私は、よそ者と取り引きする気はない	나는 낯선 자와 거래할 생각 없다
6407	dialog	1	35	17	私は、地の底で何千年も眠っていたわ	나는 땅속 깊은 곳에서 몇천 년이나 잠들어 있었어
6408	dialog	1	27	13	私は「探索兵」シメオンです	나는 「탐색병」 시메온입니다
6409	dialog	1	23	11	私は「編み人」ザドクだ	나는 「엮는 자」 자독이다
6410	movie	1	39	19	私は『絶対の客人』を導く存在にすぎない	나는 『절대의 손님』을 인도하는 존재일 뿐
6411	movie	1	17	8	私はここに残るわ	나는 여기 남겠어
6412	movie	1	31	15	私はそれを知り、彼女を強尋した	나는 그것을 알고, 그녀를 강하게 다그쳤다
6413	dialog	1	23	11	私はキトールという者だ	나는 키톨이라는 자다
6414	dialog	1	19	9	私は色々忙しいのだ	나는 이래저래 바쁘다
6415	dialog	1	33	16	私も…君が無事に帰って来ることを	나도… 네가 무사히 돌아오기를
6416	movie	1	21	10	私も、この足だからな	나도, 이 다리라서 말이지
6417	dialog	1	23	11	私も、そう思っていた…	나도, 그렇게 생각하고 있었어…
6418	movie	1	11	5	私も行くわ	나도 갈게
6419	dialog	1	9	4	私自身…	나 자신이…
6420	dialog	1	11	5	移動物感知	이동체 감지
6421	dialog	1	15	7	移動砲台ハンサ	이동포대 한사
6422	dialog	1	9	4	稲妻放出	전격 방출
6423	dialog	1	37	18	空から塔に行く方法が見つかったんでな	하늘에서 탑으로 가는 방법을 찾았거든
6424	dialog	1	27	13	空中から塔へ行こうとしても	공중에서 탑으로 가려 해도
6425	dialog	1	37	18	空中戦艦が、東の方に飛んで行ったけど	공중전함이 동쪽으로 날아갔는데
6426	dialog	1	35	17	空中戦艦と戦うはめになるとはなあ…	공중전함과 싸우게 될 줄이야…
6427	dialog	1	29	14	空中戦艦の方がずっと早かった	공중전함이 훨씬 빨랐다
6428	dialog	1	25	12	空中戦艦ヴァルナ・輸送型	공중전함 바루나・수송형
6429	dialog	1	15	7	空中機雷放出！	공중기뢰 방출!
6430	ui	1	54	26	空中船のある広場にて待つ。\n日が落ちたら来い。    	공중선이 있는 광장에서 기다린다.\n해가 지면 오도록.    
6431	movie	1	11	5	立てるか？	설 수 있겠나?
6432	ui	1	7	3	竜の書	용의 서
6433	dialog	1	37	18	竜巻を起こすスイッチになってるはずだ	회오리를 일으키는 스위치일 거다
6434	dialog	1	39	19	第1、第2ブロック、機能停止しました！	제1, 제2블록, 기능 정지했습니다!
6435	dialog	1	31	15	第1、第2ブロック、機能回復！	제1, 제2블록, 기능 회복!
6436	dialog	1	17	8	第1回転砲台準備	제1회전포대 준비
6437	dialog	1	15	7	第1排気□開放	제1배기□ 개방
6438	dialog	1	17	8	第2回転砲台準備	제2회전포대 준비
6439	dialog	1	15	7	第2排気□開放	제2배기□ 개방
6440	movie	1	31	15	第2次防衛線までは放来させろ！	제2방위선까지는 물러나게 해라!
6441	dialog	1	25	12	第2編隊、応答ありません	제2편대, 응답 없습니다
6442	dialog	1	27	13	第2編隊長からグリグオリグ	제2편대장으로부터 그리그오리그
6443	dialog	1	29	14	第3ブロック、消失しました！	제3블록, 소실했습니다!
6444	dialog	1	17	8	第3回転砲台準備	제3회전포대 준비
6445	dialog	1	15	7	第3排気□開放	제3배기□ 개방
6446	dialog	1	17	8	第4回転砲台準備	제4회전포대 준비
6447	dialog	1	31	15	第6編隊、迎撃に向かって下さい	제6편대, 요격하러 가주십시오
6448	dialog	1	17	8	答える必要はない	대답할 필요 없다
6449	ui	1	184	89	粒子が止められない場合は、なんとか\n当たらないようにするしかない。\n特にエンジンからは、絶え間なく\n粒子が降り注いでいるので面倒だが、\nそれから身を守るための仕掛けも\nどこかにあるはずだ。	입자를 멈출 수 없다면, 어떻게든\n맞지 않도록 하는 수밖에 없다.\n특히 엔진에서는 끊임없이\n입자가 쏟아지고 있어 성가시지만,\n그로부터 몸을 지킬 장치도\n어딘가에 있을 것이다.
6450	ui	1	149	72	粒子の噴出□を壊しておくのが、一番\nいいやり方だろう。\n中には、噴出□を全部壊さないと\n先に進めないところもあるらしいから\nせいぜい景気よくやってくれ。	입자 분출□을 부숴 두는 것이\n가장 좋은 방법일 것이다.\n곳에 따라서는 분출□을 전부 부수지 않으면 앞으로 나아갈 수\n없는 곳도 있는 모양이니\n부디 힘내서 해주기 바란다.
6451	dialog	1	7	3	粘着液	점액
6452	dialog	1	45	20	系統別に効果が多少異なる。\n<03>\nATTACK系<03>	계통별로 효과가 다소 다르다.\n<03>\nATTACK계<03>
6453	dialog	1	21	10	紀械／層近の横り先え	기체／근접 시 회피
6454	dialog	1	33	16	純血種ほど、その指令に忠実に動く	순혈종일수록 그 명령에 충실히 움직인다
6455	dialog	1	25	12	索敵モード2に移行しろ！	색적 모드 2로 이행하라!
6456	movie	1	31	15	終りない資源の浪費と戦争だけだ	끝없는 자원 낭비와 전쟁뿐이다
6457	dialog	1	23	11	終待朝出な中入今を終る	종료 대기 중 진입을 종료한다
6458	ui	1	11	5	終息日の書	종식일의 서
6459	movie	1	21	10	終焉する時が来たのだ	종언의 때가 왔다
6460	movie	1	19	9	組織化された集団だ	조직화된 집단이다
6461	movie	1	37	18	経験から言うと、帝国に首を突っ込むと	경험상 말하자면, 제국에 발을 들이면
6462	dialog	1	37	18	経験を積めば、いいハンターになれるぞ	경험을 쌓으면 좋은 헌터가 될 거다
6463	ui	1	7	3	経験値	경험치
6464	dialog	1	131	63	経験値がたまるとレベルアップし\nドラゴンと銃の基本性能が上昇、\nタイプセレクトでどう調整して\n戦っているかが\nその上昇具合に影響する。	경험치가 쌓이면 레벨업하며\n드래곤과 총의 기본 성능이 상승,\n타입 셀렉트로 어떻게 조정해서\n싸우고 있는가가\n그 상승 정도에 영향을 준다.
6465	dialog	1	37	18	結局、こんな仕事しかできなかったんだ	결국 이런 일밖에 못 했구나
6466	dialog	1	29	14	結局、みんな何もしなかった…	결국 다들 아무것도 하지 않았어…
6467	dialog	1	37	18	結局、みんな連中と取り引きしてるんだ	결국 다들 그놈들과 거래하고 있어
6468	dialog	1	37	18	結局、アンユウは途中で帰ってきたんだ	결국 안유는 도중에 돌아왔구나
6469	dialog	1	33	16	結局、ワシは薬を持ち帰れなかった	결국 나는 약을 가져오지 못했다
6470	dialog	1	29	14	結局、俺も奴らと同類なのかな	결국 나도 그놈들과 같은 부류인가
6471	dialog	1	35	17	結局、帝国軍も神様には勝てないのよ	결국 제국군도 신에게는 못 이기는 거야
6472	dialog	1	39	19	結局、旦那は薬を取ってこれなかったんだ	결국 그이는 약을 가져오지 못했구나
6473	dialog	1	37	18	結局、船を守ってた方が戦いに敗れて…	결국 배를 지키던 쪽이 싸움에서 졌고…
6474	dialog	1	25	12	結局、街はもとどおりか…	결국 마을은 원래대로인가…
6475	dialog	1	11	5	結晶石爆発	결정석 폭발
6476	dialog	1	17	8	結構面白かったよ	꽤 재밌었어
6477	dialog	1	39	19	統治者として帝国と交渉することになるな	통치자로서 제국과 교섭하게 되는 건가
6478	dialog	1	33	16	絶対、あの4つの遣跡が怪しいって	분명 그 네 유적이 수상하다니까
6479	movie	1	15	7	絶対の客人…？	절대의 손님…?
6480	movie	1	35	17	絶対の客人？ それってドラゴンの…	절대의 손님? 그게 드래곤의…
6481	dialog	1	33	16	続いてヴァルナ級戦艦が会敵します	이어서 바루나급 전함이 조우합니다
6482	dialog	1	37	18	緊急活動時のエネルギーを供給してるの	긴급 활동 시의 에너지를 공급하고 있어
6483	dialog	1	29	14	総冥退艦せよ、艦を放来する！	전원 퇴함하라, 함을 포기한다!
6484	dialog	1	11	5	総冥退避！	전원 퇴피!
6485	ui	1	7	3	総重量	총중량
6486	dialog	1	82	39	緑の方向は\n敵がその方向に攻撃できないことを\n示している。\nそのため安全地帯となる。	녹색 방향은\n적이 그 방향으로 공격할 수 없음을\n나타낸다.\n따라서 안전지대가 된다.
6487	dialog	1	29	14	置いといても邪魔になるだけさ	두고 다녀봤자 방해만 될 뿐이야
6488	dialog	1	7	3	美しい	아름답다
6489	dialog	1	15	7	群れが合体する	무리가 합체한다
6490	dialog	1	5	2	羽化	우화
6491	dialog	1	13	6	考えてもみろ	생각해봐
6492	dialog	1	9	4	耐性変化	내성 변화
6493	dialog	1	27	13	聖なる方々の聖なるねぐらさ	성스러운 이들의 성스러운 둥지지
6494	dialog	1	23	11	聞いたか、黒い船の話！	들었어? 검은 배 이야기!
6495	dialog	1	37	18	聞いたか？ ドラゴンが降臨するそうだ	들었어? 드래곤이 강림한다더군
6496	movie	1	17	8	聞いてどうする？	들어서 어쩌게?
6497	movie	1	25	12	聞く方法はいくらでもある	물어볼 방법은 얼마든지 있다
6498	movie	1	17	8	聞こえるだろう？	들리지?
6499	dialog	1	31	15	背に腹はかえられんってとこだな	배보다 배꼽이 클 수는 없다는 거지
6500	movie	1	19	9	胸の…ポケット……	가슴의… 주머니……
6501	dialog	1	82	39	能力を得た。\nタイプセレクトとは\nドラゴンの形態を自由に\n変化させられる能力である。	능력을 얻었다.\n타입 셀렉트란\n드래곤의 형태를 자유롭게\n바꿀 수 있는 능력이다.
6502	dialog	1	103	48	能力変化、レベルアップでの\n能力上昇・バーサークの獲得は\n微妙な調整に対応しているが\nその他に「<03>\nタイプ<03>	능력 변화, 레벨업으로 인한\n능력 상승・버서크 습득은\n미묘한 조정에 대응하지만\n그 외에도 「<03>\n타입<03>
6503	dialog	1	27	13	脱出装置が！ うわぁぁぁ…	탈출 장치가! 으아아악…
6504	movie	1	33	16	自らが生み出した遣伝子改造による	스스로 만들어낸 유전자 개조에 의해
6505	movie	1	21	10	自らの優勢を保つため	스스로의 우위를 지키기 위해
6506	movie	1	27	13	自分があそこで何をしたかも	자신이 거기서 무엇을 했는지도
6507	dialog	1	35	17	自分が呼ばれるのを待っていたのよ…	자기가 불릴 순간을 기다리고 있었던 거야…
6508	dialog	1	23	11	自分が生きた証としてな	자신이 살았다는 증거로서 말이지
6509	movie	1	21	10	自分だけ特別扱いか？	나만 특별 취급인가?
6510	ui	1	184	89	自分でも、子供じみた考えだと思う。\nそれでも儀は、ラギの成長した姿を\n見てみたい。そして、一度でいいから\nあの翼で飛んでみたい。\n小さい頃に聞いたおとぎ話に出てきた\nドラゴン乗りのように。	나 스스로도 유치한 생각이라 여긴다.\n그래도 나는 라기가 자란 모습을\n보고 싶다. 그리고 단 한 번이라도\n그 날개로 날아보고 싶다.\n어릴 적 들었던 옛이야기에 나오던\n드래곤 라이더처럼.
6511	movie	1	27	13	自分で歩きはじめる為には…	스스로 걷기 시작하기 위해서는…
6512	dialog	1	33	16	自分にしかできないことをしたいの	나밖에 할 수 없는 일을 하고 싶어
6513	dialog	1	35	17	自分のパートナーを信用したらどうだ	네 파트너를 믿어보는 게 어때
6514	movie	1	17	8	自分の主張通り、	자신의 주장대로,
6515	dialog	1	37	18	自分の立場がまだ理解できんらしいな…	아직 자기 입장을 이해 못 하나 보군…
6516	dialog	1	35	17	自分はそこで高みの見物というわけか	자기는 거기서 구경만 하겠다는 건가
6517	dialog	1	23	11	自律ができなくなってる	자율이 안 되고 있어
6518	ui	1	19	9	自我発生による障害	자아 발생에 의한 장애
6519	ui	1	114	54	自我発生症状をきたしたドローンは、\n以下の障害を併発する。\n\n1)同調機能障害\n2)論理パターン混乱\n3)命令認識障害	자아 발생 증상을 보인 드론은\n다음의 장애를 병발한다.\n\n1)동조 기능 장애\n2)논리 패턴 혼란\n3)명령 인식 장애
6520	dialog	1	17	8	自然に回復するわ	자연히 회복될 거야
6521	ui	1	15	7	自走砲ランカー	자주포 랑카
6522	dialog	1	23	11	自走砲ランカー＆護衛艇	자주포 랑카＆호위정
6523	dialog	1	25	12	船体強度低下、危険です！	선체 강도 저하, 위험합니다!
6524	movie	1	31	15	船内に拘留しておけ、出航が近い	배 안에 가둬둬라, 곧 출항이다
6525	dialog	1	13	6	艦橋部損傷！	함교부 손상!
6526	dialog	1	31	15	艦長！ ダメです、もちません！	함장! 안 됩니다, 못 버팁니다!
6527	dialog	1	29	14	艦隊…って、じゃあ、やっぱり	함대… 그럼, 역시
6528	dialog	1	29	14	艦隊も、ここを通って行く時に	함대도 여기를 지나갈 때
6529	dialog	1	21	10	色々考えたんだけど…	이런저런 생각을 해봤는데…
6530	dialog	1	33	16	色んな物があんなに小さく見える…	온갖 것들이 저렇게나 작게 보여…
6531	dialog	1	37	18	若いうちは、とにかく場数を踏むことだ	젊을 땐 어쨌든 경험을 쌓아야지
6532	dialog	1	31	15	若いうちは、一人旅もいいだろう	젊을 땐 혼자 여행하는 것도 좋겠지
6533	dialog	1	21	10	若いのに冷静なんだな	젊은데 침착하군
6534	dialog	1	33	16	若い人の気持ちはわからないねえ…	젊은 사람 마음은 모르겠어…
6535	dialog	1	29	14	若造にしては、なかなかやるな	애송이치고 제법이군
6536	dialog	1	35	17	落ちる！！ しっかりつかまってろ！	떨어진다!! 단단히 붙잡아!
6537	dialog	1	27	13	落ち合う場所を、忘れるなよ	만날 장소, 잊지 마
6538	dialog	1	5	2	落盤	낙반
6539	dialog	1	9	4	蒼の大玉	푸른 큰 구슬
6540	dialog	1	7	3	蒼の玉	푸른 구슬
6541	dialog	1	31	15	融通の効く生き物じゃないのよ…	융통성 있는 생물이 아니야…
6542	movie	1	13	6	血統書つきだ	혈통서까지 딸려 있다고
6543	dialog	1	21	10	行きましょう、エッジ	가자, 엣지
6544	dialog	1	37	18	行くあてがないんなら、仲間になりなよ	갈 곳 없으면 동료가 되지 그래
6545	dialog	1	21	10	行くあてはあるのか？	갈 곳은 있는 거야?
6546	movie	1	19	9	行くって…どこに？	간다니… 어디로?
6547	dialog	1	11	5	行くよ！！	간다!!
6548	dialog	1	29	14	行こう、たぶん下に抜けられる	가자, 아마 아래로 빠져나갈 수 있을 거야
6549	dialog	1	27	13	行っちまったよ、あの子は…	가버렸어, 그 애는…
6550	dialog	1	35	17	街から来た、パエットという男だが…	마을에서 온, 파에트라는 남자인데…
6551	dialog	1	31	15	街が湖にしずんじゃったんだよね	마을이 호수에 가라앉아버렸잖아
6552	dialog	1	39	19	街の人間に自慢してたら、俺が塔のことを	마을 사람들에게 자랑했더니, 내가 탑에 대해
6553	dialog	1	33	16	街の入□の横にある階段を越えると	마을 입구□ 옆에 있는 계단을 넘으면
6554	dialog	1	39	19	街の安全と引き換えにドラゴンの情報を…	마을의 안전과 맞바꿔 드래곤의 정보를…
6555	dialog	1	35	17	街の焼け跡に、掘り返した跡があった	마을의 잿더미에 파헤친 흔적이 있었다
6556	dialog	1	35	17	街の言い伝えに出てくる「神の車」さ	마을 전설에 나오는 「신의 수레」야
6557	dialog	1	33	16	街を出たら、ハンターになろうかな	마을을 떠나면 헌터가 되어볼까
6558	dialog	1	11	5	街を出る？	마을을 떠난다고?
6559	dialog	1	37	18	街を捨てて逃げ出してるよ、あいつは！	마을을 버리고 도망친 거야, 그놈은!
6560	dialog	1	7	3	街神聖	마을 신성구
6561	dialog	1	9	4	衝撃吸収	충격 흡수
6562	dialog	1	21	10	被害状況を報告しろ！	피해 상황을 보고해!
6563	dialog	1	25	12	被害軽微、問題ありません	피해 경미, 문제없습니다
6564	dialog	1	27	13	装甲が外れた…あと少しだ！	장갑이 벗겨졌다… 조금만 더!
6565	dialog	1	23	11	装甲大破、もちません！	장갑 대파, 못 버팁니다!
6566	movie	1	25	12	裏側に起動スイッチがある	뒤편에 기동 스위치가 있다
6567	dialog	1	19	9	見かけねえ顔だな…	낯선 얼굴이군…
6568	movie	1	31	15	見かけのわりには大丈夫そうだな	겉보기와 달리 괜찮아 보이는군
6569	dialog	1	33	16	見たところ、旅をしているようだな	보아하니 여행 중인 모양이군
6570	movie	1	11	5	見たのか？	봤나?
6571	movie	1	9	4	見たまえ	보게
6572	movie	1	23	11	見た目は人間に近いが、	겉모습은 인간에 가깝지만,
6573	dialog	1	35	17	見つかったら、捨てられちゃうからね	걸리면 버려질 테니까
6574	dialog	1	29	14	見つけたんだよ、村の焼け跡で	찾아냈어, 마을 잿더미에서
6575	dialog	1	35	17	見つけた時には、もう手遅れだったよ	발견했을 때는 이미 늦었어
6576	dialog	1	23	11	見ておきたいものがある	봐두고 싶은 게 있다
6577	dialog	1	37	18	見てみろ、腕が動かなくなっているぞ。	봐, 팔이 움직이지 않게 됐잖아.
6578	dialog	1	25	12	見てればわかる…来るぞ！	보면 알아… 온다!
6579	dialog	1	254	122	見び用ったエッジに、うってかわって\nなれなれしく森するパエット。\n折は、エッジがドラゴン屋りである\nことを根き路めたのだ。\nすっかり風車倉になったパエットは、\n庫換した立燃「ウル」の畳気に\n飾への焼炉があるらしいと本る。\n \n(辺境貴・重品イベントで跡械古井)\n	파손된 채 놀림 받는 엣지에게\n갑자기 스스럼없이 다가서는 파에트.\n실은 엣지가 드래곤 라이더라는\n사실을 눈치챈 것이다.\n어느새 수다스러워진 파에트는\n귀환한 유적 「우르」의 분위기 속에\n신에 대한 소각(燒却)이 있다는 걸 안다.\n \n(변경・귀중품 이벤트에서 유적 발굴)\n
6580	dialog	1	25	12	見ろよ、この発掘品の山…	봐라, 이 발굴품 더미를…
6581	dialog	1	21	10	見捨てられただって？	버림받았다고?
6582	dialog	1	31	15	規格外品の思考は、人間に近いの	규격외품의 사고는 인간에 가까워
6583	dialog	1	9	4	規格外？	규격외?
6584	movie	1	21	10	覚えているはずだ！！	기억하고 있을 거다!!
6585	dialog	1	31	15	親父さん、結構話がわかるんだな	아저씨, 제법 말이 통하는군
6586	dialog	1	19	9	親父ならこの中だぜ	아버지라면 이 안에 있어
6587	dialog	1	29	14	親父の仕事、本当にやるのか？	아버지 일, 진짜로 할 거야?
6588	dialog	1	39	19	親父の奴、すっかり調子に乗っちまってさ	아버지 녀석, 완전히 우쭐해져서는
6589	dialog	1	37	18	親父の話なんかするなよ、胸くそ悪いぜ	아버지 얘기 좀 하지 마, 기분 나빠지니까
6590	dialog	1	21	10	角がある奴に注意しろ	뿔 달린 놈을 조심해
6591	dialog	1	29	14	角のあるアシュティの武器は？	뿔 달린 아슈티의 무기는?
6592	dialog	1	19	9	解除を承認します…	해제를 승인합니다…
6593	movie	1	33	16	言いたくなければそれでもいいがね	말하고 싶지 않으면 그래도 상관없다만
6594	dialog	1	29	14	言う事を聞いてくれるんだろう	말을 들어줄 거지
6595	dialog	1	315	152	言発の掘会から砂を部くエッジ。\nこの少くには「来」と漠ばれる半分があり\nクレイメン頼回はそこに出かったという。\nこの向に間んでいるパエットという目が、\n来の当を持しく流っているらしい。\nエッジは、その目が金いたという来の悪を\n教に手れる。そこには、ドラゴンが旧せた\n貸と相じ棒一があった。\n \n(大丈夫・理考緒助借身知抜)\n	관련 기록에서 정보를 찾는 엣지.\n이 근처에는 「무언가」라 불리는 유물이 있으며\n클레이멘 부대는 그곳으로 향했다고 한다.\n이 부근에 살고 있는 파에트라는 노인이\n그 무언가에 대해 자세히 알고 있는 듯하다.\n엣지는 그 노인이 새로 알아냈다는 정보를\n손에 넣는다. 그곳에는 드래곤이 남긴\n것과 같은 종류의 무언가가 있었다.\n \n(구세기・장치 내장 보존 미사용)\n
6596	dialog	1	19	9	訓練通りにいくぞ！	훈련한 대로 하는 거다!
6597	dialog	1	35	17	評議会でうまく立ち回りたいだけだよ	평의회에서 잘 처신하고 싶을 뿐이야
6598	dialog	1	39	19	評議会の対応しだいじゃ戦になっちまうな	평의회 대응에 따라 전쟁이 될 수도 있어
6599	dialog	1	27	13	評議会の発表、聞いたかい？	평의회 발표, 들었어?
6600	dialog	1	33	16	評議会も、少し考えてほしいものだ	평의회도 좀 생각해줬으면 좋겠군
6601	dialog	1	37	18	試作段階とはいえ、このヴリトラまで…	시작 단계라더니, 이 브리트라까지…
6602	dialog	1	35	17	話があるから、神聖区まで来いってよ	할 얘기가 있으니 신성구까지 오라더군
6603	movie	1	25	12	話しておきたい事がある…	얘기해두고 싶은 게 있다…
6604	dialog	1	23	11	話なら、後にしてくれよ	얘기라면 나중에 해줘
6605	dialog	1	33	16	話はあとだ、帝国戦艦が来るぞ！！	얘기는 나중이다, 제국 전함이 온다!!
6606	movie	1	15	7	話を聞いてくれ	얘기 좀 들어봐
6607	dialog	1	35	17	詳しいことは、パエットにでも聞きな	자세한 건 파에트한테라도 물어봐
6608	dialog	1	39	19	詳しい事は知らないが、よくやってくれた	자세한 사정은 모르지만 잘해줬다
6609	dialog	1	35	17	詳しい奴に話を聞いた方がいいかもな	잘 아는 놈한테 얘기를 듣는 게 나을지도
